ola,A_001_001,A_003_021,A_003_031,A_007_001,A_007_071,B_001_101,B_006_061,C_001_031,C_003_003_011,C_006_003_011,D_001_001,D_001_021,D_001_041,D_001_061,D_001_091,D_001_131,G_002_011,G_005_001,H_001_011,H_002_011,H_002_031,H_002_041,H_002_101,H_002_111,H_002_131,H_002_161,H_002_241,I_001_001,S_001,S_002,S_101,S_200,S_301,S_700,S_701,X_001,X_002,X_004,X_008,X_020,pais_nombre,pais_iso3
LAT1995,1,,3,1,6,,,,-3,,5,,,3.0,,2.0,,,,3,4,3,2,3,3,2,3,2,2,62,6.0,6,1,1,2,32,1995,-7,,1.0,Argentina,ARG
LAT1995,1,,3,2,7,,,,-3,,4,,,3.0,,3.0,,,,4,-2,4,1,4,3,2,4,2,2,65,5.0,6,2,1,1,32,1995,-7,,1.0,Argentina,ARG
LAT1995,1,,3,2,5,,,,3,,2,,,3.0,,2.0,,,,3,3,3,2,3,2,3,3,2,1,38,4.0,1,2,1,4,32,1995,-7,,1.0,Argentina,ARG
LAT1995,1,,2,3,2,,,,2,,4,,,3.0,,-2.0,,,,3,2,4,2,3,3,4,2,2,2,49,5.0,1,2,1,3,32,1995,-7,,1.0,Argentina,ARG
LAT1995,1,,2,2,5,,,,1,,3,,,3.0,,3.0,,,,2,2,1,3,2,2,-2,2,1,2,29,5.0,1,2,1,2,32,1995,-7,,1.0,Argentina,ARG
LAT1995,1,,3,3,7,,,,-3,,4,,,4.0,,4.0,,,,3,4,3,2,3,2,4,3,2,2,59,3.0,5,3,1,2,32,1995,-7,,1.0,Argentina,ARG
LAT1995,1,,4,2,5,,,,3,,3,,,5.0,,3.0,,,,2,4,3,2,3,3,3,2,2,2,35,4.0,1,3,1,4,32,1995,-7,,1.0,Argentina,ARG
LAT1995,3,,3,3,-1,,,,1,,4,,,3.0,,2.0,,,,4,4,4,1,2,4,1,4,1,1,57,3.0,1,2,1,3,32,1995,-7,,1.0,Argentina,ARG
LAT1995,1,,2,4,-1,,,,-3,,4,,,4.0,,3.0,,,,2,2,2,2,2,2,2,2,2,2,25,3.0,6,3,1,3,32,1995,-7,,1.0,Argentina,ARG
LAT1995,1,,2,4,7,,,,-3,,2,,,3.0,,3.0,,,,4,2,4,2,4,4,2,2,2,1,29,4.0,4,2,1,4,32,1995,-7,,1.0,Argentina,ARG
LAT1995,2,,2,2,2,,,,-3,,4,,,2.0,,2.0,,,,2,4,3,1,2,4,3,3,2,1,21,6.0,7,2,15,-3,32,1995,-7,,1.0,Argentina,ARG
LAT1995,1,,3,3,4,,,,-3,,4,,,2.0,,1.0,,,,1,2,2,2,3,3,2,2,2,2,52,5.0,6,2,1,3,32,1995,-7,,1.0,Argentina,ARG
LAT1995,3,,3,4,-1,,,,1,,5,,,5.0,,4.0,,,,4,4,4,3,4,4,4,4,2,1,72,2.0,1,3,1,3,32,1995,-7,,1.0,Argentina,ARG
LAT1995,1,,2,1,5,,,,-3,,3,,,3.0,,2.0,,,,3,2,3,2,3,2,3,4,2,2,53,5.0,5,2,1,3,32,1995,-7,,1.0,Argentina,ARG
LAT1995,1,,1,4,6,,,,-3,,4,,,3.0,,3.0,,,,2,2,2,1,2,3,3,3,2,2,18,6.0,7,2,1,1,32,1995,-7,,1.0,Argentina,ARG
LAT1995,1,,2,4,-1,,,,-3,,4,,,4.0,,3.0,,,,-2,2,-2,2,3,3,-2,-2,1,2,19,3.0,6,5,1,3,32,1995,-7,,1.0,Argentina,ARG
LAT1995,1,,3,3,4,,,,-3,,3,,,2.0,,2.0,,,,3,2,3,2,3,2,2,-2,2,2,22,6.0,7,2,1,3,32,1995,-7,,1.0,Argentina,ARG
LAT1995,3,,3,4,-1,,,,-3,,4,,,3.0,,2.0,,,,3,3,3,2,3,3,3,4,1,2,57,3.0,6,3,1,2,32,1995,-7,,1.0,Argentina,ARG
