ola,columna,valor,total_apariciones
LAT1995,A_001_001,1.0,5280
LAT1995,A_001_001,2.0,1536
LAT1995,A_001_001,3.0,1446
LAT1995,A_001_001,-1.0,649
LAT1995,A_001_001,-2.0,158
LAT1996,A_001_001,1.0,13378
LAT1996,A_001_001,3.0,3329
LAT1996,A_001_001,2.0,3294
LAT1996,A_001_001,-1.0,866
LAT1996,A_001_001,-2.0,333
LAT1997,A_001_001,1.0,13239
LAT1997,A_001_001,2.0,3297
LAT1997,A_001_001,3.0,2736
LAT1997,A_001_001,-1.0,684
LAT1997,A_001_001,-2.0,287
LAT1998,A_001_001,1.0,13158
LAT1998,A_001_001,2.0,3265
LAT1998,A_001_001,3.0,3061
LAT1998,A_001_001,-1.0,622
LAT1998,A_001_001,-2.0,225
LAT2000,A_001_001,1.0,10839
LAT2000,A_001_001,2.0,3140
LAT2000,A_001_001,3.0,3064
LAT2000,A_001_001,-1.0,762
LAT2000,A_001_001,-2.0,233
LAT2001,A_001_001,1.0,10835
LAT2001,A_001_001,3.0,3938
LAT2001,A_001_001,2.0,3616
LAT2001,A_001_001,-1.0,1713
LAT2001,A_001_001,-2.0,529
LAT2002,A_001_001,1.0,12687
LAT2002,A_001_001,3.0,3182
LAT2002,A_001_001,2.0,3057
LAT2002,A_001_001,-1.0,1510
LAT2002,A_001_001,-2.0,570
LAT2003,A_001_001,1.0,12176
LAT2003,A_001_001,3.0,4158
LAT2003,A_001_001,2.0,3286
LAT2003,A_001_001,-1.0,1133
LAT2003,A_001_001,-2.0,380
LAT2004,A_001_001,1.0,12777
LAT2004,A_001_001,3.0,4176
LAT2004,A_001_001,2.0,3080
LAT2004,A_001_001,-1.0,1630
LAT2004,A_001_001,-2.0,433
LAT2005,A_001_001,1.0,10780
LAT2005,A_001_001,3.0,3898
LAT2005,A_001_001,2.0,3018
LAT2005,A_001_001,-1.0,2115
LAT2005,A_001_001,-2.0,411
LAT2006,A_001_001,1.0,13779
LAT2006,A_001_001,2.0,3680
LAT2006,A_001_001,3.0,3561
LAT2006,A_001_001,-1.0,1418
LAT2006,A_001_001,-2.0,270
LAT2007,A_001_001,1.0,13012
LAT2007,A_001_001,3.0,4225
LAT2007,A_001_001,2.0,3680
LAT2007,A_001_001,-1.0,1450
LAT2007,A_001_001,-2.0,327
LAT2008,A_001_001,1.0,13493
LAT2008,A_001_001,3.0,4092
LAT2008,A_001_001,2.0,3384
LAT2008,A_001_001,-1.0,1482
LAT2008,A_001_001,-2.0,224
LAT2009,A_001_001,1.0,13961
LAT2009,A_001_001,3.0,3775
LAT2009,A_001_001,2.0,3381
LAT2009,A_001_001,-1.0,1356
LAT2009,A_001_001,-2.0,217
LAT2010,A_001_001,1.0,14410
LAT2010,A_001_001,3.0,3521
LAT2010,A_001_001,2.0,3221
LAT2010,A_001_001,-1.0,1299
LAT2010,A_001_001,-2.0,236
LAT2011,A_001_001,1.0,11695
LAT2011,A_001_001,3.0,3663
LAT2011,A_001_001,2.0,3449
LAT2011,A_001_001,-1.0,1177
LAT2011,A_001_001,-2.0,220
LAT2013,A_001_001,1.0,13251
LAT2013,A_001_001,3.0,4352
LAT2013,A_001_001,2.0,3382
LAT2013,A_001_001,-1.0,1414
LAT2013,A_001_001,-2.0,264
LAT2015,A_001_001,1.0,11580
LAT2015,A_001_001,3.0,3852
LAT2015,A_001_001,2.0,3150
LAT2015,A_001_001,-1.0,1409
LAT2015,A_001_001,-2.0,259
LAT2016,A_001_001,1.0,10849
LAT2016,A_001_001,3.0,4795
LAT2016,A_001_001,2.0,3006
LAT2016,A_001_001,-1.0,1357
LAT2016,A_001_001,-2.0,197
LAT2017,A_001_001,1.0,10785
LAT2017,A_001_001,3.0,5075
LAT2017,A_001_001,2.0,2526
LAT2017,A_001_001,-1.0,1571
LAT2017,A_001_001,-2.0,243
LAT2018,A_001_001,1.0,9723
LAT2018,A_001_001,3.0,5654
LAT2018,A_001_001,2.0,2950
