country_name,country_text_id,country_id,year,COWcode,v2x_polyarchy,v2x_libdem,v2x_partipdem,v2x_delibdem,v2x_egaldem,v2x_freexp_altinf,v2xcl_rol,v2x_jucon,v2xlg_legcon,v2x_cspart,v2x_egal,v2xeg_eqdr,v2x_accountability_osp,v2xnp_regcorr,v2x_neopat,v2xpe_exlsocgr,v2xpe_exlecon,v2x_corr,v2x_pubcorr,v2x_execorr,v2x_gender,v2x_rule,v2xcs_ccsi
Argentina,ARG,37,1995,160.000000,0.833000,0.641000,0.575000,0.773000,0.657000,0.944000,0.903000,0.588000,0.726000,0.884000,0.761000,0.665000,0.928000,0.768000,0.513000,0.090000,0.301000,0.611000,0.487000,0.815000,0.833000,0.541000,0.929000
Argentina,ARG,37,1996,160.000000,0.830000,0.634000,0.572000,0.770000,0.660000,0.941000,0.903000,0.588000,0.699000,0.884000,0.773000,0.693000,0.925000,0.768000,0.520000,0.090000,0.301000,0.611000,0.487000,0.815000,0.833000,0.541000,0.929000
Argentina,ARG,37,1997,160.000000,0.829000,0.634000,0.572000,0.770000,0.656000,0.941000,0.903000,0.588000,0.699000,0.884000,0.764000,0.673000,0.925000,0.768000,0.519000,0.090000,0.301000,0.611000,0.487000,0.815000,0.846000,0.541000,0.929000
Argentina,ARG,37,1998,160.000000,0.828000,0.634000,0.571000,0.769000,0.656000,0.941000,0.903000,0.595000,0.699000,0.884000,0.764000,0.673000,0.925000,0.768000,0.507000,0.090000,0.301000,0.611000,0.487000,0.815000,0.846000,0.539000,0.929000
Argentina,ARG,37,1999,160.000000,0.828000,0.640000,0.571000,0.767000,0.656000,0.941000,0.920000,0.615000,0.699000,0.884000,0.764000,0.673000,0.926000,0.768000,0.501000,0.090000,0.301000,0.600000,0.457000,0.815000,0.842000,0.560000,0.929000
Argentina,ARG,37,2000,160.000000,0.833000,0.670000,0.576000,0.776000,0.653000,0.952000,0.920000,0.718000,0.727000,0.884000,0.755000,0.687000,0.933000,0.386000,0.337000,0.090000,0.306000,0.459000,0.457000,0.347000,0.852000,0.698000,0.929000
Argentina,ARG,37,2001,160.000000,0.833000,0.674000,0.575000,0.778000,0.652000,0.950000,0.916000,0.706000,0.763000,0.884000,0.755000,0.687000,0.934000,0.386000,0.342000,0.090000,0.308000,0.459000,0.457000,0.347000,0.862000,0.692000,0.929000
Argentina,ARG,37,2002,160.000000,0.826000,0.661000,0.569000,0.765000,0.649000,0.935000,0.890000,0.700000,0.755000,0.884000,0.762000,0.688000,0.930000,0.565000,0.376000,0.100000,0.318000,0.530000,0.504000,0.583000,0.844000,0.609000,0.929000
Argentina,ARG,37,2003,160.000000,0.807000,0.638000,0.555000,0.636000,0.636000,0.901000,0.859000,0.707000,0.755000,0.884000,0.764000,0.698000,0.918000,0.634000,0.395000,0.109000,0.318000,0.551000,0.557000,0.682000,0.844000,0.540000,0.929000
Argentina,ARG,37,2004,160.000000,0.795000,0.632000,0.543000,0.594000,0.627000,0.911000,0.876000,0.707000,0.755000,0.880000,0.766000,0.706000,0.911000,0.634000,0.393000,0.109000,0.306000,0.551000,0.557000,0.682000,0.851000,0.555000,0.867000
Argentina,ARG,37,2005,160.000000,0.793000,0.625000,0.542000,0.593000,0.625000,0.911000,0.876000,0.687000,0.745000,0.875000,0.766000,0.706000,0.906000,0.634000,0.407000,0.102000,0.306000,0.551000,0.557000,0.682000,0.851000,0.547000,0.867000
Argentina,ARG,37,2006,160.000000,0.780000,0.614000,0.530000,0.581000,0.613000,0.907000,0.876000,0.687000,0.745000,0.875000,0.766000,0.706000,0.903000,0.634000,0.409000,0.102000,0.306000,0.551000,0.557000,0.682000,0.849000,0.547000,0.867000
Argentina,ARG,37,2007,160.000000,0.781000,0.610000,0.532000,0.582000,0.620000,0.901000,0.879000,0.676000,0.729000,0.873000,0.772000,0.706000,0.898000,0.634000,0.418000,0.102000,0.307000,0.551000,0.557000,0.682000,0.845000,0.532000,0.867000
Argentina,ARG,37,2008,160.000000,0.766000,0.590000,0.519000,0.548000,0.606000,0.898000,0.875000,0.641000,0.734000,0.873000,0.773000,0.707000,0.893000,0.634000,0.435000,0.102000,0.307000,0.551000,0.557000,0.682000,0.849000,0.520000,0.852000
Argentina,ARG,37,2009,160.000000,0.756000,0.583000,0.513000,0.559000,0.598000,0.889000,0.875000,0.641000,0.734000,0.885000,0.773000,0.708000,0.890000,0.634000,0.434000,0.102000,0.307000,0.551000,0.557000,0.682000,0.851000,0.520000,0.852000
Argentina,ARG,37,2010,160.000000,0.746000,0.578000,0.502000,0.542000,0.596000,0.886000,0.875000,0.641000,0.749000,0.848000,0.779000,0.711000,0.888000,0.616000,0.429000,0.102000,0.307000,0.544000,0.557000,0.682000,0.843000,0.520000,0.813000
Argentina,ARG,37,2011,160.000000,0.749000,0.573000,0.502000,0.544000,0.597000,0.886000,0.874000,0.641000,0.711000,0.850000,0.779000,0.711000,0.891000,0.616000,0.434000,0.102000,0.307000,0.544000,0.557000,0.682000,0.845000,0.531000,0.813000
Argentina,ARG,37,2012,160.000000,0.763000,0.582000,0.511000,0.556000,0.606000,0.889000,0.865000,0.641000,0.703000,0.850000,0.778000,0.711000,0.890000,0.616000,0.433000,0.117000,0.304000,0.544000,0.557000,0.682000,0.846000,0.531000,0.813000
Argentina,ARG,37,2013,160.000000,0.772000,0.588000,0.519000,0.564000,0.607000,0.895000,0.870000,0.645000,0.702000,0.872000,0.768000,0.700000,0.898000,0.632000,0.434000,0.117000,0.310000,0.551000,0.574000,0.695000,0.842000,0.515000,0.832000
Argentina,ARG,37,2014,160.000000,0.777000,0.595000,0.523000,0.570000,0.614000,0.902000,0.870000,0.645000,0.708000,0.872000,0.768000,0.700000,0.900000,0.632000,0.425000,0.117000,0.310000,0.551000,0.574000,0.695000,0.846000,0.515000,0.832000
Argentina,ARG,37,2015,160.000000,0.765000,0.590000,0.513000,0.559000,0.603000,0.874000,0.859000,0.646000,0.751000,0.872000,0.766000,0.700000,0.888000,0.565000,0.406000,0.117000,0.310000,0.525000,0.553000,0.618000,0.840000,0.533000,0.832000
Argentina,ARG,37,2016,160.000000,0.751000,0.612000,0.502000,0.594000,0.594000,0.860000,0.857000,0.751000,0.833000,0.866000,0.771000,0.726000,0.901000,0.409000,0.305000,0.119000,0.312000,0.436000,0.420000,0.391000,0.832000,0.656000,0.880000
Argentina,ARG,37,2017,160.000000,0.751000,0.609000,0.500000,0.579000,0.577000,0.845000,0.853000,0.750000,0.826000,0.862000,0.743000,0.743000,0.907000,0.395000,0.305000,0.124000,0.328000,0.411000,0.420000,0.391000,0.848000,0.670000,0.863000
Argentina,ARG,37,2018,160.000000,0.780000,0.630000,0.520000,0.598000,0.613000,0.855000,0.861000,0.749000,0.800000,0.848000,0.763000,0.743000,0.908000,0.396000,0.308000,0.129000,0.320000,0.410000,0.420000,0.392000,0.866000,0.656000,0.879000
Argentina,ARG,37,2019,160.000000,0.779000,0.618000,0.517000,0.599000,0.612000,0.860000,0.836000,0.732000,0.770000,0.845000,0.763000,0.743000,0.907000,0.407000,0.320000,0.118000,0.321000,0.408000,0.406000,0.399000,0.857000,0.651000,0.879000
Argentina,ARG,37,2020,160.000000,0.797000,0.634000,0.537000,0.647000,0.625000,0.878000,0.854000,0.783000,0.708000,0.869000,0.756000,0.719000,0.910000,0.518000,0.341000,0.124000,0.346000,0.479000,0.509000,0.566000,0.840000,0.629000,0.874000
Argentina,ARG,37,2021,160.000000,0.796000,0.639000,0.534000,0.636000,0.621000,0.867000,0.836000,0.783000,0.751000,0.869000,0.753000,0.724000,0.912000,0.518000,0.344000,0.137000,0.345000,0.479000,0.509000,0.566000,0.834000,0.621000,0.874000
Argentina,ARG,37,2022,160.000000,0.831000,0.654000,0.563000,0.636000,0.654000,0.921000,0.843000,0.728000,0.725000,0.869000,0.757000,0.741000,0.918000,0.518000,0.362000,0.133000,0.345000,0.479000,0.509000,0.566000,0.848000,0.615000,0.874000
