year;variable;question;label
1995;A_001_001;p20;Apoyo a la democracia
1996;A_001_001;p19;Apoyo a la democracia
1997;A_001_001;sp31;Apoyo a la democracia
1998;A_001_001;sp28;Apoyo a la democracia
2000;A_001_001;P29ST;Apoyo a la democracia
2001;A_001_001;p46st;Apoyo a la democracia
2002;A_001_001;p32st;Apoyo a la democracia
2003;A_001_001;p14st;Apoyo a la democracia
2004;A_001_001;p13st;Apoyo a la democracia
2005;A_001_001;p16st;Apoyo a la democracia
2006;A_001_001;p17st;Apoyo a la democracia
2007;A_001_001;p9st;Apoyo a la democracia
2008;A_001_001;p13st;Apoyo a la democracia
2009;A_001_001;p10st;Apoyo a la democracia
2010;A_001_001;P10ST;Apoyo a la democracia
2011;A_001_001;P13ST;Apoyo a la democracia
2013;A_001_001;P12STGBS;Apoyo a la democracia
2015;A_001_001;P11STGBS;Apoyo a la democracia
2016;A_001_001;P8STGBS;Apoyo a la democracia
2017;A_001_001;P8STGBS;Apoyo a la democracia
2018;A_001_001;P12STGBS;Apoyo a la democracia
2020;A_001_001;P10STGBS;Apoyo a la democracia
2023;A_001_001;P10STGBS;Apoyo a la democracia
2024;A_001_001;P11STGBS;Apoyo a la democracia
1995;A_003_021;;Escala de desarrollo de democracia
1996;A_003_021;;Escala de desarrollo de democracia
1997;A_003_021;np34;Escala de desarrollo de democracia
1998;A_003_021;;Escala de desarrollo de democracia
2000;A_003_021;;Escala de desarrollo de democracia
2001;A_003_021;;Escala de desarrollo de democracia
2002;A_003_021;;Escala de desarrollo de democracia
2003;A_003_021;;Escala de desarrollo de democracia
2004;A_003_021;;Escala de desarrollo de democracia
2005;A_003_021;p19st;Escala de desarrollo de democracia
2006;A_003_021;p18st;Escala de desarrollo de democracia
2007;A_003_021;p10st;Escala de desarrollo de democracia
2008;A_003_021;p18st;Escala de desarrollo de democracia
2009;A_003_021;p51st_a;Escala de desarrollo de democracia
2010;A_003_021;P44ST_A;Escala de desarrollo de democracia
2011;A_003_021;P49ST_A;Escala de desarrollo de democracia
2013;A_003_021;P50TGB_A;Escala de desarrollo de democracia
2015;A_003_021;P17STGBS;Escala de desarrollo de democracia
2016;A_003_021;P11STGBS;Escala de desarrollo de democracia
2017;A_003_021;P11STGBSC;Escala de desarrollo de democracia
2018;A_003_021;;Escala de desarrollo de democracia
2020;A_003_021;;Escala de desarrollo de democracia
2023;A_003_021;;Escala de desarrollo de democracia
2024;A_003_021;;Escala de desarrollo de democracia
1995;A_003_031;p21;Satisfacción con la democracia
1996;A_003_031;p20;Satisfacción con la democracia
1997;A_003_031;sp32;Satisfacción con la democracia
1998;A_003_031;sp29;Satisfacción con la democracia
2000;A_003_031;P30ST;Satisfacción con la democracia
2001;A_003_031;p45st;Satisfacción con la democracia
2002;A_003_031;p33st;Satisfacción con la democracia
2003;A_003_031;p15st;Satisfacción con la democracia
2004;A_003_031;p14st;Satisfacción con la democracia
2005;A_003_031;p18st;Satisfacción con la democracia
2006;A_003_031;p21st;Satisfacción con la democracia
2007;A_003_031;p12st;Satisfacción con la democracia
2008;A_003_031;p22st_a;Satisfacción con la democracia
2009;A_003_031;p12st_a;Satisfacción con la democracia
2010;A_003_031;P11ST_A;Satisfacción con la democracia
2011;A_003_031;P14ST_A;Satisfacción con la democracia
2013;A_003_031;P13TGB_A;Satisfacción con la democracia
2015;A_003_031;P12TG_A;Satisfacción con la democracia
2016;A_003_031;P9STGBSA;Satisfacción con la democracia
2017;A_003_031;P9STGBSC_A;Satisfacción con la democracia
2018;A_003_031;P13STGBS.A;Satisfacción con la democracia
2020;A_003_031;P11STGBS_A;Satisfacción con la democracia
2023;A_003_031;P11STGBS_A;Satisfacción con la democracia
2024;A_003_031;P12STGBS.A;Satisfacción con la democracia
1995;A_007_001;p62;Interés en política
1996;A_007_001;p64;Interés en política
1997;A_007_001;sp41;Interés en política
1998;A_007_001;sp36;Interés en política
2000;A_007_001;P63ST;Interés en política
2001;A_007_001;p56st;Interés en política
2002;A_007_001;;Interés en política
2003;A_007_001;p61st;Interés en política
2004;A_007_001;p29st;Interés en política
2005;A_007_001;p37st;Interés en política
2006;A_007_001;;Interés en política
2007;A_007_001;p59st;Interés en política
2008;A_007_001;;Interés en política
2009;A_007_001;p32st;Interés en política
2010;A_007_001;P23ST;Interés en política
