year;variable;question
1995;A_001_001;p20
1996;A_001_001;p19
1997;A_001_001;sp31
1998;A_001_001;sp28
2000;A_001_001;P29ST
2001;A_001_001;p46st
2002;A_001_001;p32st
2003;A_001_001;p14st
2004;A_001_001;p13st
2005;A_001_001;p16st
2006;A_001_001;p17st
2007;A_001_001;p9st
2008;A_001_001;p13st
2009;A_001_001;p10st
2010;A_001_001;P10ST
2011;A_001_001;P13ST
2013;A_001_001;P12STGBS
2015;A_001_001;P11STGBS
2016;A_001_001;P8STGBS
2017;A_001_001;P8STGBS
2018;A_001_001;P12STGBS
2020;A_001_001;P10STGBS
2023;A_001_001;P10STGBS
2024;A_001_001;P11STGBS
1995;A_003_021;
1996;A_003_021;
1997;A_003_021;np34
1998;A_003_021;
2000;A_003_021;
2001;A_003_021;
2002;A_003_021;
2003;A_003_021;
2004;A_003_021;
2005;A_003_021;p19st
2006;A_003_021;p18st
2007;A_003_021;p10st
2008;A_003_021;p18st
2009;A_003_021;p51st_a
2010;A_003_021;P44ST_A
2011;A_003_021;P49ST_A
2013;A_003_021;P50TGB_A
2015;A_003_021;P17STGBS
2016;A_003_021;P11STGBS
2017;A_003_021;P11STGBSC
2018;A_003_021;
2020;A_003_021;
2023;A_003_021;
2024;A_003_021;
1995;A_003_031;p21
1996;A_003_031;p20
1997;A_003_031;sp32
1998;A_003_031;sp29
2000;A_003_031;P30ST
2001;A_003_031;p45st
2002;A_003_031;p33st
2003;A_003_031;p15st
2004;A_003_031;p14st
2005;A_003_031;p18st
2006;A_003_031;p21st
2007;A_003_031;p12st
2008;A_003_031;p22st_a
2009;A_003_031;p12st_a
2010;A_003_031;P11ST_A
2011;A_003_031;P14ST_A
2013;A_003_031;P13TGB_A
2015;A_003_031;P12TG_A
2016;A_003_031;P9STGBSA
2017;A_003_031;P9STGBSC_A
2018;A_003_031;P13STGBS.A
2020;A_003_031;P11STGBS_A
2023;A_003_031;P11STGBS_A
2024;A_003_031;P12STGBS.A
1995;A_007_001;p62
1996;A_007_001;p64
1997;A_007_001;sp41
1998;A_007_001;sp36
2000;A_007_001;P63ST
2001;A_007_001;p56st
2002;A_007_001;
2003;A_007_001;p61st
2004;A_007_001;p29st
2005;A_007_001;p37st
2006;A_007_001;
2007;A_007_001;p59st
2008;A_007_001;
2009;A_007_001;p32st
2010;A_007_001;P23ST
2011;A_007_001;
2013;A_007_001;P20STGBS
2015;A_007_001;
2016;A_007_001;
2017;A_007_001;
2018;A_007_001;
2020;A_007_001;P46STGBS
2023;A_007_001;P40STGBS
2024;A_007_001;P36STGBS
1995;A_007_071;p31
1996;A_007_071;p38
1997;A_007_071;sp56
1998;A_007_071;sp52
2000;A_007_071;P52ST
2001;A_007_071;p54st
2002;A_007_071;p64st
2003;A_007_071;p60st
2004;A_007_071;p87st
2005;A_007_071;p34st
2006;A_007_071;p47st
2007;A_007_071;p67st
2008;A_007_071;p56st
2009;A_007_071;p69st
2010;A_007_071;P60ST
2011;A_007_071;P76ST
2013;A_007_071;P41ST
2015;A_007_071;P27ST
2016;A_007_071;A_008_001
2017;A_007_071;P19STC
2018;A_007_071;P22ST
2020;A_007_071;P18ST
2023;A_007_071;P16ST
2024;A_007_071;P16ST
1995;B_001_101;
1996;B_001_101;
1997;B_001_101;
1998;B_001_101;
2000;B_001_101;
2001;B_001_101;
2002;B_001_101;
2003;B_001_101;
2004;B_001_101;p24wvs
2005;B_001_101;p22st
2006;B_001_101;p20stm
2007;B_001_101;p16st
2008;B_001_101;p25st
2009;B_001_101;p22st
2010;B_001_101;P17ST
2011;B_001_101;P19ST
2013;B_001_101;P14ST
2015;B_001_101;P14ST
2016;B_001_101;P10ST
2017;B_001_101;P10ST
2018;B_001_101;P14ST
2020;B_001_101;P12ST
2023;B_001_101;P12ST
2024;B_001_101;P13ST
1995;B_006_061;
1996;B_006_061;
1997;B_006_061;
