iter	Passed	Remaining
0	10	3063
1	20	2998
2	29	2946
3	39	2904
4	49	2903
5	59	2919
6	69	2905
7	79	2892
8	88	2874
9	99	2880
10	109	2867
11	119	2859
12	129	2851
13	139	2844
14	149	2838
15	159	2824
16	168	2811
17	178	2790
18	187	2779
19	197	2761
20	206	2749
21	217	2743
22	227	2741
23	237	2730
24	247	2723
25	258	2720
26	268	2717
27	277	2700
28	287	2682
29	296	2668
30	306	2659
31	316	2647
32	326	2639
33	335	2625
34	345	2612
35	354	2601
36	364	2587
37	373	2575
38	383	2564
39	392	2551
40	401	2535
41	411	2527
42	421	2518
43	430	2507
44	439	2493
45	449	2482
46	459	2471
47	468	2458
48	478	2448
49	486	2434
50	496	2422
51	505	2412
52	515	2404
53	526	2396
54	536	2388
55	545	2375
56	554	2365
57	563	2350
58	573	2341
59	582	2329
60	591	2319
61	601	2308
62	610	2296
63	619	2286
64	629	2275
65	638	2264
66	648	2255
67	657	2243
68	667	2233
69	676	2223
70	685	2212
71	695	2203
72	705	2193
73	713	2180
74	723	2170
75	732	2159
76	742	2150
77	751	2138
78	760	2128
79	770	2118
80	779	2106
81	788	2095
82	797	2085
83	807	2076
84	817	2066
85	826	2056
86	835	2045
87	844	2035
88	854	2026
89	864	2016
90	873	2006
91	882	1996
92	892	1985
93	901	1975
94	911	1966
95	920	1955
96	929	1945
97	938	1935
98	948	1926
99	958	1916
100	967	1906
101	976	1896
102	985	1885
103	995	1875
104	1004	1864
105	1013	1854
106	1022	1844
107	1031	1834
108	1041	1824
109	1050	1815
110	1059	1804
111	1069	1794
112	1078	1785
113	1087	1774
114	1096	1764
115	1105	1754
116	1114	1743
117	1123	1733
118	1133	1723
119	1142	1714
120	1152	1705
121	1161	1694
122	1171	1685
123	1180	1675
124	1190	1666
125	1199	1655
126	1208	1646
127	1217	1635
128	1227	1626
129	1236	1617
130	1245	1607
131	1255	1597
132	1264	1587
133	1274	1578
134	1283	1568
135	1292	1558
136	1301	1548
137	1311	1539
138	1320	1529
139	1330	1520
140	1340	1511
141	1350	1502
142	1358	1491
143	1367	1481
144	1376	1471
145	1385	1461
146	1394	1451
147	1403	1441
148	1412	1431
149	1422	1422
150	1431	1412
151	1441	1403
152	1450	1393
153	1460	1384
154	1469	1374
155	1478	1364
156	1488	1355
157	1498	1346
158	1507	1336
159	1516	1327
160	1526	1317
161	1534	1307
162	1544	1297
163	1552	1287
164	1562	1278
165	1571	1268
166	1580	1258
167	1590	1249
168	1598	1238
169	1608	1229
170	1617	1220
171	1626	1210
172	1635	1200
173	1644	1190
174	1652	1180
175	1662	1171
176	1671	1161
177	1681	1152
178	1690	1142
179	1699	1133
180	1708	1123
181	1719	1114
182	1728	1104
183	1737	1095
184	1746	1085
185	1755	1075
186	1764	1066
187	1773	1056
188	1782	1046
189	1791	1036
190	1800	1027
191	1809	1018
192	1819	1008
193	1828	999
194	1837	989
195	1846	979
196	1854	969
197	1863	960
198	1872	950
199	1882	941
200	1891	931
201	1900	921
202	1908	912
203	1917	902
204	1926	892
205	1935	883
206	1943	873
207	1952	863
208	1961	853
209	1970	844
210	1978	834
211	1988	825
212	1997	816
213	2007	806
214	2017	797
215	2026	788
216	2036	778
217	2045	769
218	2054	759
219	2063	750
220	2072	740
221	2082	731
222	2092	722
223	2101	712
224	2111	703
225	2120	694
226	2130	685
227	2139	675
228	2148	665
229	2156	656
230	2166	647
231	2175	637
232	2185	628
233	2194	619
234	2204	609
235	2214	600
236	2223	591
237	2232	581
238	2242	572
239	2251	562
240	2259	553
241	2268	543
242	2277	534
243	2286	524
244	2295	515
245	2304	505
246	2313	496
247	2322	487
248	2332	477
249	2341	468
250	2350	458
251	2359	449
252	2368	439
253	2376	430
254	2385	420
255	2394	411
256	2404	402
257	2413	392
258	2422	383
259	2432	374
260	2441	364
261	2450	355
262	2460	346
263	2469	336
264	2478	327
265	2487	318
266	2496	308
267	2506	299
268	2515	289
269	2525	280
270	2534	271
271	2543	261
272	2553	252
273	2562	243
274	2571	233
275	2580	224
276	2590	215
277	2599	205
278	2607	196
279	2615	186
280	2625	177
281	2635	168
282	2644	158
283	2652	149
284	2661	140
285	2670	130
286	2679	121
287	2687	111
288	2697	102
289	2706	93
290	2714	83
291	2724	74
292	2734	65
293	2743	55
294	2752	46
295	2760	37
296	2769	27
297	2778	18
298	2787	9
299	2796	0
