modelo,estrategia_balanceo,variante_target,split,modo_ejecucion,ponderado,accuracy,balanced_accuracy,f1_macro,f1_weighted,kappa_lineal,kappa_cuadratico,mae_ordinal,auroc_macro
TabNet,pesos_clase,binario,test,real,False,0.7626553414661954,0.7481976074568016,0.7385100358038588,0.7664081574761844,0.478302170147636,0.478302170147636,0.23734465853380457,0.8272949108802395
CatBoost,pesos_clase,binario,test,real,False,0.7643940257667313,0.7448730159470891,0.7380502585143275,0.7672164031318998,0.476772033902889,0.476772033902889,0.23560597423326873,0.824647414619252
XGBoost,pesos_clase,binario,test,real,False,0.7623988142743131,0.7460672774530557,0.7374144897665766,0.7658525704620395,0.47588214374411697,0.47588214374411697,0.23760118572568692,0.8252297096759316
LightGBM,pesos_clase,binario,test,real,False,0.7631398928286398,0.7442415620091536,0.7370247281942199,0.7661208387194356,0.4748039315777276,0.4748039315777276,0.23686010717136016,0.8253397329047586
OLO,pesos_clase,binario,test,real,False,0.748346824763425,0.7435657047673159,0.727809775898028,0.7540602032015415,0.459036305324259,0.459036305324259,0.2516531752365751,0.8199065524972762
LightGBM,pesos_clase,binario,val,real,False,0.7730414077472559,0.727614936369388,0.7204072725846454,0.7763103461377594,0.4413143113882365,0.4413143113882365,0.22695859225274406,0.8029791717830743
XGBoost,pesos_clase,binario,val,real,False,0.7707183924734305,0.7298303287595033,0.7201594064370167,0.774973664422936,0.44119168359982563,0.44119168359982563,0.22928160752656948,0.8038174718786134
TabNet,pesos_clase,binario,val,real,False,0.7701376386549742,0.727937721815435,0.7188732977622097,0.774195281304177,0.4385310903159303,0.4385310903159303,0.22986236134502586,0.8004117300076937
CatBoost,pesos_clase,binario,val,real,False,0.7707764678552762,0.727015886319505,0.718781567349952,0.774505437624094,0.4382185629523325,0.4382185629523325,0.22922353214472385,0.8021939013368301
OLO,pesos_clase,binario,val,real,False,0.7495208780997735,0.7240182209600923,0.7048629989218687,0.7577683843020828,0.4132937639831511,0.4132937639831511,0.2504791219002265,0.7957147692746075
TabNet,pesos_clase,ordinal_4clases,test,real,False,0.47474632311024967,0.49492825934993856,0.4606676206337268,0.46592767516992933,0.41797949861840256,0.5374488765021261,0.657564701858397,0.7577350277408235
