modelo,estrategia_balanceo,metrica,valor,ic_inf,ic_sup,ee_bootstrap,B,n_clusteres
CatBoost,pesos_clase,kappa_cuadratico,0.5025,0.4247,0.5748,0.0385,50,32
CatBoost,pesos_clase,mae_ordinal,0.6603,0.6084,0.7187,0.0303,50,32
CatBoost,pesos_clase,accuracy,0.4841,0.4521,0.5086,0.0151,50,32
CatBoost,pesos_clase,f1_macro,0.4788,0.442,0.5063,0.0182,50,32
CatBoost,sin_balanceo,kappa_cuadratico,0.481,0.4281,0.5351,0.0293,50,32
CatBoost,sin_balanceo,mae_ordinal,0.5445,0.5242,0.5792,0.0152,50,32
CatBoost,sin_balanceo,accuracy,0.523,0.4969,0.5371,0.0111,50,32
CatBoost,sin_balanceo,f1_macro,0.4445,0.4071,0.4746,0.0179,50,32
CatBoost,smotenc,kappa_cuadratico,0.495,0.436,0.5521,0.0353,50,32
CatBoost,smotenc,mae_ordinal,0.5431,0.5113,0.59,0.0215,50,32
CatBoost,smotenc,accuracy,0.5276,0.493,0.5512,0.0169,50,32
CatBoost,smotenc,f1_macro,0.4681,0.4236,0.5083,0.0227,50,32
LightGBM,pesos_clase,kappa_cuadratico,0.5078,0.4459,0.5641,0.0336,50,32
LightGBM,pesos_clase,mae_ordinal,0.6589,0.6048,0.7288,0.0315,50,32
LightGBM,pesos_clase,accuracy,0.4864,0.4502,0.5151,0.0162,50,32
LightGBM,pesos_clase,f1_macro,0.4815,0.4424,0.5085,0.0175,50,32
LightGBM,sin_balanceo,kappa_cuadratico,0.4885,0.4189,0.5507,0.0366,50,32
LightGBM,sin_balanceo,mae_ordinal,0.5431,0.5169,0.5775,0.0187,50,32
LightGBM,sin_balanceo,accuracy,0.5286,0.5066,0.5478,0.0128,50,32
LightGBM,sin_balanceo,f1_macro,0.4625,0.4251,0.4947,0.0173,50,32
LightGBM,smotenc,kappa_cuadratico,0.4818,0.4142,0.5464,0.0348,50,32
LightGBM,smotenc,mae_ordinal,0.5647,0.5414,0.6097,0.0176,50,32
LightGBM,smotenc,accuracy,0.5084,0.4754,0.5272,0.0125,50,32
LightGBM,smotenc,f1_macro,0.4522,0.4067,0.4793,0.0186,50,32
OLO,pesos_clase,kappa_cuadratico,0.5073,0.458,0.5609,0.029,50,32
OLO,pesos_clase,mae_ordinal,0.7746,0.7232,0.8189,0.0282,50,32
OLO,pesos_clase,accuracy,0.4025,0.3747,0.4332,0.0175,50,32
OLO,pesos_clase,f1_macro,0.3855,0.3589,0.4167,0.0171,50,32
OLO,sin_balanceo,kappa_cuadratico,0.4709,0.4172,0.5315,0.0318,50,32
OLO,sin_balanceo,mae_ordinal,0.544,0.519,0.5813,0.0175,50,32
OLO,sin_balanceo,accuracy,0.5183,0.4919,0.5415,0.0136,50,32
OLO,sin_balanceo,f1_macro,0.4354,0.3991,0.4673,0.0184,50,32
OLO,smotenc,kappa_cuadratico,0.5081,0.4589,0.557,0.0283,50,32
OLO,smotenc,mae_ordinal,0.7629,0.7182,0.8054,0.0266,50,32
OLO,smotenc,accuracy,0.4058,0.3778,0.4313,0.0155,50,32
OLO,smotenc,f1_macro,0.3909,0.3623,0.4201,0.016,50,32
TabNet,pesos_clase,kappa_cuadratico,0.3699,0.3338,0.426,0.0275,50,32
TabNet,pesos_clase,mae_ordinal,0.8182,0.7831,0.8543,0.0212,50,32
TabNet,pesos_clase,accuracy,0.3711,0.3476,0.3995,0.0152,50,32
TabNet,pesos_clase,f1_macro,0.3561,0.3301,0.3909,0.0164,50,32
TabNet,sin_balanceo,kappa_cuadratico,0.1801,0.14,0.2248,0.0237,50,32
TabNet,sin_balanceo,mae_ordinal,1.0197,0.9816,1.0672,0.025,50,32
TabNet,sin_balanceo,accuracy,0.3107,0.283,0.34,0.0137,50,32
TabNet,sin_balanceo,f1_macro,0.2539,0.239,0.2726,0.0093,50,32
TabNet,smotenc,kappa_cuadratico,0.3944,0.3473,0.4423,0.0274,50,32
TabNet,smotenc,mae_ordinal,0.8351,0.8056,0.8782,0.0196,50,32
TabNet,smotenc,accuracy,0.3754,0.3568,0.39,0.0107,50,32
TabNet,smotenc,f1_macro,0.3628,0.3425,0.3773,0.0101,50,32
XGBoost,pesos_clase,kappa_cuadratico,0.4724,0.4086,0.53,0.029,50,32
XGBoost,pesos_clase,mae_ordinal,0.5965,0.5746,0.6264,0.0149,50,32
XGBoost,pesos_clase,accuracy,0.4977,0.4767,0.514,0.0108,50,32
XGBoost,pesos_clase,f1_macro,0.4553,0.4235,0.4789,0.0143,50,32
XGBoost,sin_balanceo,kappa_cuadratico,0.4907,0.4347,0.5465,0.0312,50,32
XGBoost,sin_balanceo,mae_ordinal,0.5506,0.5196,0.5914,0.0185,50,32
XGBoost,sin_balanceo,accuracy,0.5225,0.4956,0.5456,0.0124,50,32
XGBoost,sin_balanceo,f1_macro,0.4589,0.4271,0.4849,0.0159,50,32
XGBoost,smotenc,kappa_cuadratico,0.4847,0.422,0.5355,0.0299,50,32
XGBoost,smotenc,mae_ordinal,0.5525,0.5302,0.5884,0.0172,50,32
XGBoost,smotenc,accuracy,0.5281,0.5047,0.5441,0.0115,50,32
XGBoost,smotenc,f1_macro,0.4666,0.4244,0.4897,0.0173,50,32
