referencia,comparado,valor_ref,valor_comp,delta,ic_inf,ic_sup,p_delta_favor_ref,conclusion,metrica
LightGBM [smotenc],TabNet [sin_balanceo],0.4818,0.1801,0.3016,0.2352,0.3472,1.0,diferencia distinguible,kappa_cuadratico
LightGBM [smotenc],TabNet [pesos_clase],0.4818,0.3699,0.1119,0.072,0.1396,1.0,diferencia distinguible,kappa_cuadratico
LightGBM [smotenc],TabNet [smotenc],0.4818,0.3944,0.0874,0.0482,0.1309,1.0,diferencia distinguible,kappa_cuadratico
LightGBM [smotenc],OLO [sin_balanceo],0.4818,0.4709,0.0109,-0.0176,0.0333,0.78,no distinguible (IC incluye 0),kappa_cuadratico
LightGBM [smotenc],XGBoost [pesos_clase],0.4818,0.4724,0.0094,-0.0227,0.0338,0.68,no distinguible (IC incluye 0),kappa_cuadratico
LightGBM [smotenc],CatBoost [sin_balanceo],0.4818,0.481,0.0008,-0.0265,0.0272,0.52,no distinguible (IC incluye 0),kappa_cuadratico
LightGBM [smotenc],XGBoost [smotenc],0.4818,0.4847,-0.0029,-0.0234,0.019,0.46,no distinguible (IC incluye 0),kappa_cuadratico
LightGBM [smotenc],LightGBM [sin_balanceo],0.4818,0.4885,-0.0067,-0.03,0.0192,0.22,no distinguible (IC incluye 0),kappa_cuadratico
LightGBM [smotenc],XGBoost [sin_balanceo],0.4818,0.4907,-0.0089,-0.032,0.0092,0.3,no distinguible (IC incluye 0),kappa_cuadratico
LightGBM [smotenc],CatBoost [smotenc],0.4818,0.495,-0.0132,-0.0407,0.011,0.24,no distinguible (IC incluye 0),kappa_cuadratico
LightGBM [smotenc],CatBoost [pesos_clase],0.4818,0.5025,-0.0207,-0.0551,0.01,0.16,no distinguible (IC incluye 0),kappa_cuadratico
LightGBM [smotenc],OLO [pesos_clase],0.4818,0.5073,-0.0255,-0.0621,0.0057,0.06,no distinguible (IC incluye 0),kappa_cuadratico
LightGBM [smotenc],LightGBM [pesos_clase],0.4818,0.5078,-0.026,-0.0601,0.0052,0.04,no distinguible (IC incluye 0),kappa_cuadratico
LightGBM [smotenc],OLO [smotenc],0.4818,0.5081,-0.0263,-0.0633,0.0011,0.04,no distinguible (IC incluye 0),kappa_cuadratico
LightGBM [smotenc],TabNet [sin_balanceo],0.5647,1.0197,0.455,0.4014,0.4924,1.0,diferencia distinguible,mae_ordinal
LightGBM [smotenc],TabNet [smotenc],0.5647,0.8351,0.2704,0.2445,0.2971,1.0,diferencia distinguible,mae_ordinal
LightGBM [smotenc],TabNet [pesos_clase],0.5647,0.8182,0.2535,0.2105,0.282,1.0,diferencia distinguible,mae_ordinal
LightGBM [smotenc],OLO [pesos_clase],0.5647,0.7746,0.2099,0.1672,0.2546,1.0,diferencia distinguible,mae_ordinal
LightGBM [smotenc],OLO [smotenc],0.5647,0.7629,0.1982,0.1653,0.2374,1.0,diferencia distinguible,mae_ordinal
LightGBM [smotenc],CatBoost [pesos_clase],0.5647,0.6603,0.0956,0.0562,0.1329,1.0,diferencia distinguible,mae_ordinal
LightGBM [smotenc],LightGBM [pesos_clase],0.5647,0.6589,0.0942,0.0576,0.1336,1.0,diferencia distinguible,mae_ordinal
LightGBM [smotenc],XGBoost [pesos_clase],0.5647,0.5965,0.0319,0.0085,0.0508,1.0,diferencia distinguible,mae_ordinal
LightGBM [smotenc],XGBoost [smotenc],0.5647,0.5525,-0.0122,-0.0248,0.0027,0.06,no distinguible (IC incluye 0),mae_ordinal
LightGBM [smotenc],XGBoost [sin_balanceo],0.5647,0.5506,-0.0141,-0.0309,0.0069,0.08,no distinguible (IC incluye 0),mae_ordinal
LightGBM [smotenc],CatBoost [sin_balanceo],0.5647,0.5445,-0.0201,-0.0378,-0.0001,0.02,diferencia distinguible,mae_ordinal
LightGBM [smotenc],OLO [sin_balanceo],0.5647,0.544,-0.0206,-0.0446,-0.0056,0.02,diferencia distinguible,mae_ordinal
LightGBM [smotenc],LightGBM [sin_balanceo],0.5647,0.5431,-0.0216,-0.038,-0.0031,0.02,diferencia distinguible,mae_ordinal
LightGBM [smotenc],CatBoost [smotenc],0.5647,0.5431,-0.0216,-0.0484,0.0003,0.04,no distinguible (IC incluye 0),mae_ordinal
