modelo,estrategia_balanceo,variante_target,split,accuracy,balanced_accuracy,f1_macro,f1_weighted,kappa_lineal,kappa_cuadratico,mae_ordinal,auroc_macro
CatBoost,pesos_clase,binario,test,0.7638809713829666,0.7459315118355145,0.7382325711970092,0.7670011919847185,0.47730542876660376,0.47730542876660376,0.2361190286170334,0.8264605035048884
LightGBM,pesos_clase,binario,test,0.7611161783149014,0.7482455227712593,0.737599666182524,0.7651800143160692,0.4767376011483311,0.4767376011483311,0.2388838216850986,0.8264197493560168
XGBoost,pesos_clase,binario,test,0.7630828867859993,0.7456375963980642,0.7376273843881012,0.7663207297886603,0.4761653688372265,0.4761653688372265,0.2369171132140007,0.8250091109337682
TabNet,pesos_clase,binario,test,0.7546459924752024,0.7509902637319029,0.7347172589087538,0.7602457676516317,0.4728154077633062,0.4728154077633062,0.24535400752479763,0.8301613879492402
OLO,pesos_clase,binario,test,0.7465511344202486,0.7440173085520482,0.7268690992021095,0.7526116464326293,0.4577309573224724,0.4577309573224724,0.25344886557975144,0.8199256155793723
CatBoost,pesos_clase,ordinal_4clases,test,0.4905940029643142,0.5037277798070372,0.47991462855746037,0.48599477933994983,0.42625004822948265,0.5417967413232854,0.6296602439858625,0.7646525317575796
XGBoost,pesos_clase,ordinal_4clases,test,0.4910785543267586,0.5099002806663362,0.4808064328625584,0.48430571784652254,0.42666581550826954,0.537056913860713,0.6380401322540189,0.7684026256688444
LightGBM,pesos_clase,ordinal_4clases,test,0.4919051419450462,0.509386841482669,0.481501371618526,0.48648082848021634,0.42389682575690446,0.5315454194311648,0.6402348648956789,0.7667573667546891
OLO,pesos_clase,ordinal_4clases,test,0.4364952684984608,0.4693833275705525,0.41770011452663613,0.42324123132641134,0.39056710718699716,0.5197902256998865,0.7231786569376354,0.745803349728618
TabNet,pesos_clase,ordinal_4clases,test,0.46984380344316495,0.4990106015596878,0.4581988808479181,0.4606913118416711,0.40607932045794626,0.5126822706496033,0.6850986204537681,0.7573042328495716
