modelo,estrategia_balanceo,variante_target,split,modo_ejecucion,ponderado,accuracy,balanced_accuracy,f1_macro,f1_weighted,kappa_lineal,kappa_cuadratico,mae_ordinal,auroc_macro
TabNet,pesos_clase,ordinal_4clases,test,real,False,0.47474632311024967,0.49492825934993856,0.4606676206337268,0.46592767516992933,0.41797949861840256,0.5374488765021261,0.657564701858397,0.7577350277408235
CatBoost,pesos_clase,ordinal_4clases,test,real,False,0.48819974917341236,0.5057309382528634,0.4770576881419937,0.48202126370538456,0.42425757311969836,0.5372922765609653,0.6406054041728423,0.7658394486381865
XGBoost,pesos_clase,ordinal_4clases,test,real,False,0.4904514878577129,0.5083920076474151,0.47925058320694247,0.4835158010473694,0.4245666531117124,0.5340116583243106,0.6414604948124502,0.7688337975276363
LightGBM,pesos_clase,ordinal_4clases,test,real,False,0.489254360962262,0.5104401256705795,0.4785062709716821,0.4820700774013435,0.42380456629981966,0.5316293938457535,0.6471896020978224,0.7674852248407567
OLO,pesos_clase,ordinal_4clases,test,real,False,0.41514650552958615,0.4589816414697294,0.39267141996747856,0.39253897530580933,0.38541421690179944,0.5277900220097851,0.7467506555694904,0.7133445233326798
TabNet,sin_balanceo,ordinal_4clases,test,real,False,0.5190685212632539,0.45150498176313286,0.4653423436943561,0.5083817894303378,0.3983765538548938,0.5177572263863031,0.5538707102952913,0.764768267731325
LightGBM,sin_balanceo,ordinal_4clases,test,real,False,0.5281324820430966,0.4455805569591633,0.4640392692131751,0.5104400189905425,0.3903268527701249,0.5065186842953573,0.5414148899783378,0.7699170575283083
CatBoost,sin_balanceo,ordinal_4clases,test,real,False,0.5253391859537111,0.44038112491839027,0.4544647530130014,0.5065856679595022,0.38807576154183443,0.5049428463094688,0.5420704594687037,0.7674068583521874
XGBoost,sin_balanceo,ordinal_4clases,test,real,False,0.5281324820430966,0.4450973056146034,0.4628804861291378,0.5107578758000924,0.3887873828305868,0.5010191493879517,0.54494926462205,0.7683014706159373
OLO,sin_balanceo,ordinal_4clases,test,real,False,0.5009976057462091,0.3962125120830735,0.40212737564900564,0.4635737258183584,0.33319754799734014,0.4578467109508395,0.5600558659217877,0.7449912408288575
CatBoost,smotenc,ordinal_4clases,test,real,False,0.515790673811424,0.4676487329469784,0.47818160869660686,0.5104072764313612,0.4133583346846528,0.5385619716707954,0.5688347964884277,0.7581889731199262
OLO,smotenc,ordinal_4clases,test,real,False,0.41962147987686693,0.45881958310798476,0.39747065978340507,0.39971277040554554,0.38793553362038424,0.5308495873258516,0.7364325618515563,0.7142487051792193
TabNet,smotenc,ordinal_4clases,test,real,False,0.46710751339642004,0.47548958633523425,0.4507246363390739,0.46215055142270894,0.4003903148525987,0.5248175101636403,0.6638923725914947,0.7401289548830094
XGBoost,smotenc,ordinal_4clases,test,real,False,0.5219473264166001,0.4607902028803703,0.4753080721360638,0.5109632297425728,0.39876603704102964,0.5149924351500335,0.5681222209554213,0.7589661768504778
LightGBM,smotenc,ordinal_4clases,test,real,False,0.5171873218561167,0.45088976671413716,0.46349301051903724,0.5061339203831451,0.3908803272278122,0.5051458972017911,0.5603979021776309,0.7597178140730134
