pais,Entrenamiento,Validación,Prueba,Total
Paraguay,1568,80,143,1791
Chile,1512,70,133,1715
Brasil,1470,75,159,1704
México,1487,73,139,1699
Venezuela,1478,75,135,1688
Argentina,1459,77,137,1673
Costa Rica,1453,79,132,1664
Uruguay,1460,71,133,1664
Perú,1471,66,122,1659
Panamá,1401,71,154,1626
Honduras,1416,77,128,1621
Colombia,1406,75,132,1613
Bolivia,1382,76,132,1590
Ecuador,1383,75,131,1589
Guatemala,1367,75,145,1587
El Salvador,1375,61,120,1556
Nicaragua,1417,76,0,1493
República Dominicana,878,64,148,1090
TOTAL,25383,1316,2323,29022
