pais,Entrenamiento,Validación,Prueba,Total
Argentina,24802,1146,2360,28308
México,24472,1169,2344,27985
Uruguay,24458,1160,2337,27955
Chile,24235,1155,2353,27743
Perú,23163,1136,2356,26655
Ecuador,23004,1164,2382,26550
Brasil,22756,1165,2331,26252
Colombia,22494,1165,2344,26003
Bolivia,21531,1141,2307,24979
Venezuela,23797,0,0,23797
Paraguay,19282,1144,2353,22779
Costa Rica,19124,969,1954,22047
Panamá,19035,960,1955,21950
El Salvador,18666,936,1928,21530
Honduras,18521,959,1917,21397
Guatemala,17764,897,1901,20562
Nicaragua,18865,0,0,18865
República Dominicana,12623,953,1962,15538
TOTAL,378592,17219,35084,430895
