,H_002_011,H_002_031,H_002_041,H_002_111,H_002_131,H_002_161,H_002_241,D_001_001,D_001_021,D_001_041,D_001_091,C_006_003_011,A_001_001,A_007_001,B_001_101,B_006_061,G_002_011,G_005_001,I_001_001,S_001,S_002,S_101,S_200,S_301
H_002_011,1.0,0.5371,0.5581,0.4048,0.2584,0.341,0.5391,0.2349,-0.2148,-0.2197,-0.1504,0.2264,0.0901,0.1788,0.2634,-0.2821,0.0471,0.2629,0.0396,-0.0011,0.0078,-0.0084,-0.024,0.0231
H_002_031,0.5371,1.0,0.4753,0.3921,0.2544,0.3305,0.4448,0.3553,-0.3331,-0.3307,-0.2159,0.2998,0.1234,0.183,0.3557,-0.4809,0.0669,0.3295,0.0526,0.0177,-0.0343,0.0019,-0.0065,0.0162
H_002_041,0.5581,0.4753,1.0,0.431,0.2529,0.3954,0.4685,0.2106,-0.1946,-0.2081,-0.161,0.2126,0.0738,0.1469,0.2217,-0.248,0.027,0.2473,0.0441,-0.001,0.0238,-0.0086,-0.027,0.0435
H_002_111,0.4048,0.3921,0.431,1.0,0.28,0.4325,0.3539,0.2064,-0.1665,-0.1787,-0.1248,0.1684,0.0522,0.1006,0.1692,-0.1926,0.0662,0.2187,0.0711,-0.0022,-0.0282,-0.0131,-0.0342,0.0421
H_002_131,0.2584,0.2544,0.2529,0.28,1.0,0.247,0.2433,0.0995,-0.0791,-0.101,-0.0873,0.0895,0.0223,0.0635,0.0828,-0.0974,0.033,0.1093,0.0277,-0.0116,0.0276,0.0072,-0.0201,0.0046
H_002_161,0.341,0.3305,0.3954,0.4325,0.247,1.0,0.2716,0.1736,-0.1547,-0.1718,-0.151,0.147,0.0014,0.0812,0.1414,-0.1912,0.0006,0.1874,0.0228,0.0489,-0.0032,-0.0002,0.0006,0.0312
H_002_241,0.5391,0.4448,0.4685,0.3539,0.2433,0.2716,1.0,0.209,-0.1936,-0.196,-0.1249,0.2119,0.0855,0.2481,0.2295,-0.2299,0.0488,0.2274,0.0319,0.0159,0.0113,-0.0138,-0.0156,0.0182
D_001_001,0.2349,0.3553,0.2106,0.2064,0.0995,0.1736,0.209,1.0,-0.4936,-0.38,-0.2849,0.3134,0.0656,0.1163,0.2608,-0.3192,0.0563,0.2763,0.0524,0.0411,0.0431,-0.0554,-0.0006,0.0712
D_001_021,-0.2148,-0.3331,-0.1946,-0.1665,-0.0791,-0.1547,-0.1936,-0.4936,1.0,0.4488,0.3086,-0.2779,-0.0762,-0.1147,-0.2443,0.3324,-0.0364,-0.2491,-0.0357,-0.0433,-0.0599,0.0504,0.0047,-0.0412
D_001_041,-0.2197,-0.3307,-0.2081,-0.1787,-0.101,-0.1718,-0.196,-0.38,0.4488,1.0,0.4705,-0.2438,-0.0781,-0.139,-0.2338,0.3083,-0.0333,-0.2347,-0.0345,-0.0257,-0.0585,0.0461,0.015,-0.0462
