,H_002_011,H_002_031,H_002_041,H_002_111,H_002_131,H_002_161,H_002_241,D_001_001,D_001_021,D_001_041,D_001_091,C_006_003_011,A_001_001,A_007_001,B_001_101,B_006_061,G_002_011,G_005_001,I_001_001,S_001,S_002,S_101,S_200,S_301,v2x_polyarchy,v2x_egal,v2x_corr,v2xcl_rol
H_002_011,1.0,0.5384,0.5594,0.4167,0.2595,0.3492,0.543,0.2277,-0.2179,-0.2208,-0.1461,0.2203,0.0886,0.1828,0.2565,-0.2763,0.0578,0.2651,0.0411,-0.0069,0.0052,-0.0096,-0.0112,0.0206,-0.0256,-0.0795,0.0463,-0.0427
H_002_031,0.5384,1.0,0.4765,0.3919,0.2572,0.333,0.4482,0.3504,-0.3403,-0.3384,-0.205,0.3093,0.1148,0.1863,0.3358,-0.4881,0.0829,0.332,0.0491,0.0127,-0.0275,-0.0112,0.0065,0.0109,-0.0185,-0.0971,0.0405,-0.061
H_002_041,0.5594,0.4765,1.0,0.4458,0.2644,0.393,0.4699,0.2088,-0.2062,-0.2212,-0.1612,0.2164,0.0701,0.1342,0.2231,-0.2544,0.0464,0.2506,0.0507,-0.0144,0.0259,-0.0023,-0.0251,0.0396,-0.0807,-0.1121,0.0951,-0.0858
H_002_111,0.4167,0.3919,0.4458,1.0,0.2823,0.4343,0.3607,0.2077,-0.1759,-0.1817,-0.1258,0.1782,0.0531,0.1044,0.173,-0.2036,0.0717,0.2264,0.065,-0.0107,-0.0179,-0.015,-0.0249,0.0338,-0.0733,-0.0966,0.1242,-0.1139
H_002_131,0.2595,0.2572,0.2644,0.2823,1.0,0.2605,0.2558,0.0955,-0.0887,-0.1218,-0.0912,0.0916,0.0278,0.0715,0.0825,-0.1017,0.024,0.1057,0.0257,-0.0122,0.0268,0.0045,-0.0049,0.0069,0.0044,-0.0078,-0.0138,-0.0225
H_002_161,0.3492,0.333,0.393,0.4343,0.2605,1.0,0.2718,0.1811,-0.1648,-0.1916,-0.1601,0.1568,-0.0063,0.0993,0.1431,-0.1993,-0.0039,0.1988,0.0099,0.0386,0.0024,0.0048,0.0056,0.0251,-0.0275,-0.0483,0.0599,-0.0105
H_002_241,0.543,0.4482,0.4699,0.3607,0.2558,0.2718,1.0,0.2061,-0.1984,-0.1976,-0.117,0.2101,0.0858,0.2373,0.2192,-0.2297,0.054,0.2306,0.0336,0.009,0.0131,-0.0147,-0.0024,0.0164,0.0062,-0.0317,0.0228,-0.0125
D_001_001,0.2277,0.3504,0.2088,0.2077,0.0955,0.1811,0.2061,1.0,-0.4864,-0.3776,-0.2812,0.3235,0.0706,0.119,0.252,-0.3203,0.0585,0.2696,0.0475,0.0333,0.0652,-0.0733,0.0002,0.0738,-0.0847,-0.1578,0.1108,-0.1056
D_001_021,-0.2179,-0.3403,-0.2062,-0.1759,-0.0887,-0.1648,-0.1984,-0.4864,1.0,0.4522,0.3022,-0.277,-0.0797,-0.1282,-0.2415,0.3401,-0.0298,-0.2474,-0.0338,-0.0283,-0.0653,0.0609,0.0004,-0.0485,0.0735,0.1236,-0.0779,0.1159
D_001_041,-0.2208,-0.3384,-0.2212,-0.1817,-0.1218,-0.1916,-0.1976,-0.3776,0.4522,1.0,0.472,-0.2457,-0.0799,-0.159,-0.2307,0.3201,-0.0247,-0.2407,-0.0321,-0.032,-0.0646,0.0599,-0.0013,-0.0448,0.0473,0.0849,-0.0456,0.0751
D_001_091,-0.1461,-0.205,-0.1612,-0.1258,-0.0912,-0.1601,-0.117,-0.2812,0.3022,0.472,1.0,-0.1833,-0.0317,-0.1082,-0.1439,0.2103,0.0137,-0.1729,0.0019,0.0108,-0.1421,0.0815,0.014,-0.0829,0.0056,0.0239,-0.0147,0.0245
C_006_003_011,0.2203,0.3093,0.2164,0.1782,0.0916,0.1568,0.2101,0.3235,-0.277,-0.2457,-0.1833,1.0,0.0407,0.1096,0.2685,-0.2818,0.0741,0.2694,0.0409,-0.0047,0.0522,-0.0022,0.0013,0.0178,0.057,-0.0346,-0.0575,0.0235
A_001_001,0.0886,0.1148,0.0701,0.0531,0.0278,-0.0063,0.0858,0.0706,-0.0797,-0.0799,-0.0317,0.0407,1.0,0.1066,0.0544,-0.0836,0.0179,0.0593,0.0067,0.0324,-0.0577,-0.0945,-0.0069,0.0658,-0.0483,-0.1374,0.0445,-0.0858
A_007_001,0.1828,0.1863,0.1342,0.1044,0.0715,0.0993,0.2373,0.119,-0.1282,-0.159,-0.1082,0.1096,0.1066,1.0,0.0977,-0.1153,-0.0916,0.1364,-0.0693,0.0873,0.0378,-0.1554,0.0439,0.1093,0.0172,0.0059,0.0115,0.0214
B_001_101,0.2565,0.3358,0.2231,0.173,0.0825,0.1431,0.2192,0.252,-0.2415,-0.2307,-0.1439,0.2685,0.0544,0.0977,1.0,-0.3052,0.076,0.2321,0.0495,-0.0114,-0.0053,0.0711,-0.008,-0.0406,0.0278,-0.0833,0.0001,-0.0016
B_006_061,-0.2763,-0.4881,-0.2544,-0.2036,-0.1017,-0.1993,-0.2297,-0.3203,0.3401,0.3201,0.2103,-0.2818,-0.0836,-0.1153,-0.3052,1.0,-0.061,-0.3058,-0.0463,0.0005,0.013,-0.0332,-0.007,-0.002,-0.0103,0.0777,-0.0281,0.0166
G_002_011,0.0578,0.0829,0.0464,0.0717,0.024,-0.0039,0.054,0.0585,-0.0298,-0.0247,0.0137,0.0741,0.0179,-0.0916,0.076,-0.061,1.0,0.0524,0.2282,-0.0563,-0.062,0.0972,-0.0291,-0.0496,0.0611,0.0112,-0.0212,-0.0051
G_005_001,0.2651,0.332,0.2506,0.2264,0.1057,0.1988,0.2306,0.2696,-0.2474,-0.2407,-0.1729,0.2694,0.0593,0.1364,0.2321,-0.3058,0.0524,1.0,0.0581,0.0047,0.0343,-0.0078,0.0027,0.0357,-0.0092,-0.0697,0.0564,-0.047
I_001_001,0.0411,0.0491,0.0507,0.065,0.0257,0.0099,0.0336,0.0475,-0.0338,-0.0321,0.0019,0.0409,0.0067,-0.0693,0.0495,-0.0463,0.2282,0.0581,1.0,-0.0145,-0.089,0.1183,-0.0042,-0.0463,-0.043,-0.0341,0.0555,-0.0688
S_001,-0.0069,0.0127,-0.0144,-0.0107,-0.0122,0.0386,0.009,0.0333,-0.0283,-0.032,0.0108,-0.0047,0.0324,0.0873,-0.0114,0.0005,-0.0563,0.0047,-0.0145,1.0,0.0009,-0.0141,0.3233,0.0032,0.0132,0.0128,-0.0162,0.0157
S_002,0.0052,-0.0275,0.0259,-0.0179,0.0268,0.0024,0.0131,0.0652,-0.0653,-0.0646,-0.1421,0.0522,-0.0577,0.0378,-0.0053,0.013,-0.062,0.0343,-0.089,0.0009,1.0,-0.2455,-0.1598,0.0165,0.1005,0.1034,-0.095,0.1013
