año,n_ven,pct_clase3,ks_stat,ks_p,anomalia
1995,1157,22.7,0.0592,0.0017,True
1996,1475,27.4,0.0555,0.0005,True
1997,1180,20.9,0.0567,0.0016,True
1998,1192,24.8,0.0632,0.0003,True
2000,1176,7.5,0.1962,0.0,True
2001,1160,15.3,0.1563,0.0,True
2002,1156,14.4,0.123,0.0,True
2003,1179,27.1,0.1369,0.0,True
2004,1162,20.2,0.1372,0.0,True
2005,1165,12.3,0.2534,0.0,True
2006,1154,10.3,0.2518,0.0,True
2007,1182,10.5,0.2339,0.0,True
2008,1190,15.7,0.1507,0.0,True
2009,1181,14.8,0.0545,0.0027,True
2010,1167,16.9,0.0539,0.0033,True
2011,1174,15.5,0.1054,0.0,True
2013,1187,21.9,0.0779,0.0,True
2015,1195,39.7,0.2096,0.0,True
2016,1192,49.2,0.2742,0.0,True
2017,1173,49.9,0.2552,0.0,True
