modelo,estrategia_balanceo,variante_target,pliegue,n_hp_optimizados,n_hp_completos,n_trials_optuna,kappa_val_optuna,hp_optimizados,hp_completos,config_entrenamiento,archivo
CatBoost,pesos_clase,binario,final,7,11,50,0.438219,"{""iterations"": 600, ""depth"": 7, ""learning_rate"": 0.17469715630501567, ""l2_leaf_reg"": 4.676070694068215, ""bagging_temperature"": 0.09874146630798278, ""border_count"": 50, ""random_strength"": 0.11620961627552795}","{""loss_function"": ""Logloss"", ""random_seed"": 42, ""verbose"": false, ""task_type"": ""GPU"", ""iterations"": 600, ""depth"": 7, ""learning_rate"": 0.17469715630501567, ""l2_leaf_reg"": 4.676070694068215, ""bagging_temperature"": 0.09874146630798278, ""border_count"": 50, ""random_strength"": 0.11620961627552795}","{""usa_sample_weight"": true, ""eval_set"": ""conjunto de validación"", ""cat_features_idx"": [22], ""cat_features_nombre"": [""S_200""], ""nan_categoricas"": ""-999 como categoría explícita"", ""n_features"": 28, ""n_registros_train"": 378592, ""arboles_usados"": 27}",hp_CatBoost_pesos_clase_binario.json
LightGBM,pesos_clase,binario,final,9,14,50,0.441314,"{""n_estimators"": 900, ""num_leaves"": 147, ""max_depth"": 3, ""learning_rate"": 0.15173152989214853, ""subsample"": 0.6335041062768039, ""colsample_bytree"": 0.8513122481369408, ""reg_alpha"": 0.0017477855714904446, ""reg_lambda"": 0.00046291543036745955, ""min_child_samples"": 65}","{""objective"": ""binary"", ""random_state"": 42, ""n_jobs"": -1, ""verbose"": -1, ""device"": ""gpu"", ""n_estimators"": 900, ""num_leaves"": 147, ""max_depth"": 3, ""learning_rate"": 0.15173152989214853, ""subsample"": 0.6335041062768039, ""colsample_bytree"": 0.8513122481369408, ""reg_alpha"": 0.0017477855714904446, ""reg_lambda"": 0.00046291543036745955, ""min_child_samples"": 65}","{""usa_sample_weight"": true, ""eval_set"": ""conjunto de validación"", ""early_stopping_rounds"": 50, ""log_evaluation"": -1, ""cat_features_nombre"": [""S_200""], ""cat_features_dtype"": ""pandas.CategoricalDtype compartido entre splits"", ""n_features"": 28, ""n_registros_train"": 378592, ""best_iteration"": 130, ""n_arboles_ajustados"": 130}",hp_LightGBM_pesos_clase_binario.json
OLO,pesos_clase,binario,final,1,4,20,0.413294,"{""alpha"": 0.0074593432857265485}","{""max_iter"": 500, ""implementacion"": ""mord.LogisticIT"", ""formulacion"": ""logit acumulativo con umbrales de umbral inmediato (immediate-threshold)"", ""alpha"": 0.0074593432857265485}","{""usa_sample_weight"": true, ""entrada"": ""X normalizada con StandardScaler"", ""n_clases"": 2, ""n_coeficientes"": 28, ""umbrales_theta"": [-0.126154]}",hp_OLO_pesos_clase_binario.json
TabNet,pesos_clase,binario,final,8,18,20,0.438531,"{""n_d"": 32, ""n_a"": 32, ""n_steps"": 5, ""gamma"": 1.4503996520392075, ""lambda_sparse"": 4.094803650651634e-06, ""momentum"": 0.19197683353135442, ""mask_type"": ""entmax"", ""lr"": 0.003146582453738256}","{""optimizer_fn"": ""torch.optim.Adam"", ""scheduler_fn"": ""torch.optim.lr_scheduler.StepLR"", ""scheduler_params"": {""step_size"": 10, ""gamma"": 0.9}, ""cat_idxs"": [22], ""cat_dims"": [8], ""cat_emb_dim"": 3, ""verbose"": 0, ""device_name"": ""cuda"", ""seed"": 42, ""optimizer_params"": {""lr"": 0.003146582453738256}, ""n_d"": 32, ""n_a"": 32, ""n_steps"": 5, ""gamma"": 1.4503996520392075, ""lambda_sparse"": 4.094803650651634e-06, ""momentum"": 0.19197683353135442, ""mask_type"": ""entmax"", ""lr"": 0.003146582453738256}","{""max_epochs"": 200, ""patience"": 20, ""batch_size"": 1024, ""virtual_batch_size"": 128, ""eval_metric"": [""balanced_accuracy""], ""weights"": 0, ""eval_set"": ""conjunto de validación"", ""usa_sample_weight"": false, ""loss_fn"": ""CrossEntropyLoss ponderada por frecuencia inversa de clase"", ""pesos_clase"": [1.3711338712714947, 0.7869822977209043], ""max_epochs_optuna"": 100, ""patience_optuna"": 15, ""n_features"": 28, ""n_registros_train"": 378592, ""epocas_entrenadas"": 37, ""entrada"": ""X normalizada con MinMaxScaler""}",hp_TabNet_pesos_clase_binario.json
XGBoost,pesos_clase,binario,final,8,14,50,0.441192,"{""n_estimators"": 800, ""max_depth"": 5, ""learning_rate"": 0.015410150189628671, ""subsample"": 0.8751819931384068, ""colsample_bytree"": 0.7057751750481481, ""min_child_weight"": 8, ""reg_alpha"": 0.015945370481526232, ""reg_lambda"": 0.0018787807717393528}","{""objective"": ""binary:logistic"", ""tree_method"": ""hist"", ""device"": ""gpu"", ""random_state"": 42, ""n_jobs"": -1, ""verbosity"": 0, ""n_estimators"": 800, ""max_depth"": 5, ""learning_rate"": 0.015410150189628671, ""subsample"": 0.8751819931384068, ""colsample_bytree"": 0.7057751750481481, ""min_child_weight"": 8, ""reg_alpha"": 0.015945370481526232, ""reg_lambda"": 0.0018787807717393528}","{""usa_sample_weight"": true, ""eval_set"": ""conjunto de validación"", ""early_stopping"": ""no (n_estimators lo fija Optuna)"", ""n_features"": 28, ""n_registros_train"": 378592}",hp_XGBoost_pesos_clase_binario.json
CatBoost,pesos_clase,ordinal_4clases,final,7,11,50,0.482919,"{""iterations"": 400, ""depth"": 8, ""learning_rate"": 0.13962563737015762, ""l2_leaf_reg"": 9.455490474077703, ""bagging_temperature"": 0.8948273504276488, ""border_count"": 89, ""random_strength"": 9.218742350231167}","{""loss_function"": ""MultiClass"", ""random_seed"": 42, ""verbose"": false, ""task_type"": ""GPU"", ""iterations"": 400, ""depth"": 8, ""learning_rate"": 0.13962563737015762, ""l2_leaf_reg"": 9.455490474077703, ""bagging_temperature"": 0.8948273504276488, ""border_count"": 89, ""random_strength"": 9.218742350231167}","{""usa_sample_weight"": true, ""eval_set"": ""conjunto de validación"", ""cat_features_idx"": [22], ""cat_features_nombre"": [""S_200""], ""nan_categoricas"": ""-999 como categoría explícita"", ""n_features"": 28, ""n_registros_train"": 378592, ""arboles_usados"": 56}",hp_CatBoost_pesos_clase_ordinal_4clases.json
CatBoost,sin_balanceo,ordinal_4clases,final,7,11,50,0.458154,"{""iterations"": 600, ""depth"": 7, ""learning_rate"": 0.29353913079462296, ""l2_leaf_reg"": 7.961186303122526, ""bagging_temperature"": 0.6257758399500468, ""border_count"": 70, ""random_strength"": 2.103989940319246}","{""loss_function"": ""MultiClass"", ""random_seed"": 42, ""verbose"": false, ""task_type"": ""GPU"", ""iterations"": 600, ""depth"": 7, ""learning_rate"": 0.29353913079462296, ""l2_leaf_reg"": 7.961186303122526, ""bagging_temperature"": 0.6257758399500468, ""border_count"": 70, ""random_strength"": 2.103989940319246}","{""usa_sample_weight"": true, ""eval_set"": ""conjunto de validación"", ""cat_features_idx"": [22], ""cat_features_nombre"": [""S_200""], ""nan_categoricas"": ""-999 como categoría explícita"", ""n_features"": 28, ""n_registros_train"": 378592, ""arboles_usados"": 45}",hp_CatBoost_sin_balanceo_ordinal_4clases.json
CatBoost,smotenc,ordinal_4clases,final,7,11,50,0.483951,"{""iterations"": 300, ""depth"": 4, ""learning_rate"": 0.01003329689999016, ""l2_leaf_reg"": 9.27277873447868, ""bagging_temperature"": 0.055942859358906694, ""border_count"": 68, ""random_strength"": 6.448170268437508}","{""loss_function"": ""MultiClass"", ""random_seed"": 42, ""verbose"": false, ""task_type"": ""GPU"", ""iterations"": 300, ""depth"": 4, ""learning_rate"": 0.01003329689999016, ""l2_leaf_reg"": 9.27277873447868, ""bagging_temperature"": 0.055942859358906694, ""border_count"": 68, ""random_strength"": 6.448170268437508}","{""usa_sample_weight"": true, ""eval_set"": ""conjunto de validación"", ""cat_features_idx"": [22], ""cat_features_nombre"": [""S_200""], ""nan_categoricas"": ""-999 como categoría explícita"", ""n_features"": 28, ""n_registros_train"": 657776, ""arboles_usados"": 300}",hp_CatBoost_smotenc_ordinal_4clases.json
LightGBM,pesos_clase,ordinal_4clases,final,9,15,50,0.479724,"{""n_estimators"": 600, ""num_leaves"": 38, ""max_depth"": 6, ""learning_rate"": 0.026615844862983656, ""subsample"": 0.7676666323842558, ""colsample_bytree"": 0.759974768354286, ""reg_alpha"": 0.020211660841900004, ""reg_lambda"": 0.016193826977646514, ""min_child_samples"": 43}","{""objective"": ""multiclass"", ""num_class"": 4, ""random_state"": 42, ""n_jobs"": -1, ""verbose"": -1, ""device"": ""gpu"", ""n_estimators"": 600, ""num_leaves"": 38, ""max_depth"": 6, ""learning_rate"": 0.026615844862983656, ""subsample"": 0.7676666323842558, ""colsample_bytree"": 0.759974768354286, ""reg_alpha"": 0.020211660841900004, ""reg_lambda"": 0.016193826977646514, ""min_child_samples"": 43}","{""usa_sample_weight"": true, ""eval_set"": ""conjunto de validación"", ""early_stopping_rounds"": 50, ""log_evaluation"": -1, ""cat_features_nombre"": [""S_200""], ""cat_features_dtype"": ""pandas.CategoricalDtype compartido entre splits"", ""n_features"": 28, ""n_registros_train"": 378592, ""best_iteration"": 267, ""n_arboles_ajustados"": 267}",hp_LightGBM_pesos_clase_ordinal_4clases.json
LightGBM,sin_balanceo,ordinal_4clases,final,9,15,50,0.458661,"{""n_estimators"": 400, ""num_leaves"": 32, ""max_depth"": 7, ""learning_rate"": 0.044684675025045834, ""subsample"": 0.6488152939379115, ""colsample_bytree"": 0.798070764044508, ""reg_alpha"": 2.039373116525212e-08, ""reg_lambda"": 1.527156759251193, ""min_child_samples"": 40}","{""objective"": ""multiclass"", ""num_class"": 4, ""random_state"": 42, ""n_jobs"": -1, ""verbose"": -1, ""device"": ""gpu"", ""n_estimators"": 400, ""num_leaves"": 32, ""max_depth"": 7, ""learning_rate"": 0.044684675025045834, ""subsample"": 0.6488152939379115, ""colsample_bytree"": 0.798070764044508, ""reg_alpha"": 2.039373116525212e-08, ""reg_lambda"": 1.527156759251193, ""min_child_samples"": 40}","{""usa_sample_weight"": true, ""eval_set"": ""conjunto de validación"", ""early_stopping_rounds"": 50, ""log_evaluation"": -1, ""cat_features_nombre"": [""S_200""], ""cat_features_dtype"": ""pandas.CategoricalDtype compartido entre splits"", ""n_features"": 28, ""n_registros_train"": 378592, ""best_iteration"": 185, ""n_arboles_ajustados"": 185}",hp_LightGBM_sin_balanceo_ordinal_4clases.json
LightGBM,smotenc,ordinal_4clases,final,9,15,50,0.45987,"{""n_estimators"": 500, ""num_leaves"": 113, ""max_depth"": 8, ""learning_rate"": 0.18284035030248838, ""subsample"": 0.6388303087511908, ""colsample_bytree"": 0.8605503867647841, ""reg_alpha"": 2.7818692703121606e-06, ""reg_lambda"": 3.6060663463081764e-07, ""min_child_samples"": 70}","{""objective"": ""multiclass"", ""num_class"": 4, ""random_state"": 42, ""n_jobs"": -1, ""verbose"": -1, ""device"": ""gpu"", ""n_estimators"": 500, ""num_leaves"": 113, ""max_depth"": 8, ""learning_rate"": 0.18284035030248838, ""subsample"": 0.6388303087511908, ""colsample_bytree"": 0.8605503867647841, ""reg_alpha"": 2.7818692703121606e-06, ""reg_lambda"": 3.6060663463081764e-07, ""min_child_samples"": 70}","{""usa_sample_weight"": true, ""eval_set"": ""conjunto de validación"", ""early_stopping_rounds"": 50, ""log_evaluation"": -1, ""cat_features_nombre"": [""S_200""], ""cat_features_dtype"": ""pandas.CategoricalDtype compartido entre splits"", ""n_features"": 28, ""n_registros_train"": 657776, ""best_iteration"": 30, ""n_arboles_ajustados"": 30}",hp_LightGBM_smotenc_ordinal_4clases.json
OLO,pesos_clase,ordinal_4clases,final,1,4,20,0.477245,"{""alpha"": 0.0074593432857265485}","{""max_iter"": 500, ""implementacion"": ""mord.LogisticIT"", ""formulacion"": ""logit acumulativo con umbrales de umbral inmediato (immediate-threshold)"", ""alpha"": 0.0074593432857265485}","{""usa_sample_weight"": true, ""entrada"": ""X normalizada con StandardScaler"", ""n_clases"": 4, ""n_coeficientes"": 28, ""umbrales_theta"": [-0.443705, -0.107722, 0.283463]}",hp_OLO_pesos_clase_ordinal_4clases.json
OLO,sin_balanceo,ordinal_4clases,final,1,4,20,0.393281,"{""alpha"": 0.0074593432857265485}","{""max_iter"": 500, ""implementacion"": ""mord.LogisticIT"", ""formulacion"": ""logit acumulativo con umbrales de umbral inmediato (immediate-threshold)"", ""alpha"": 0.0074593432857265485}","{""usa_sample_weight"": true, ""entrada"": ""X normalizada con StandardScaler"", ""n_clases"": 4, ""n_coeficientes"": 28, ""umbrales_theta"": [-1.639489, -0.599074, 1.114394]}",hp_OLO_sin_balanceo_ordinal_4clases.json
OLO,smotenc,ordinal_4clases,final,1,4,20,0.480352,"{""alpha"": 0.0074593432857265485}","{""max_iter"": 500, ""implementacion"": ""mord.LogisticIT"", ""formulacion"": ""logit acumulativo con umbrales de umbral inmediato (immediate-threshold)"", ""alpha"": 0.0074593432857265485}","{""usa_sample_weight"": true, ""entrada"": ""X normalizada con StandardScaler"", ""n_clases"": 4, ""n_coeficientes"": 28, ""umbrales_theta"": [-0.407294, -0.0442, 0.396951]}",hp_OLO_smotenc_ordinal_4clases.json
