grupo,idx,clase_real,clase_pred,distancia,feature,peso_lime
representativo,1101,0,2,2,Confianza Congreso,-0.004460581149574928
representativo,1101,0,2,2,Sexo,0.0038825799636628255
representativo,1101,0,2,2,Confianza Policía,-0.003830843541379657
representativo,1101,0,2,2,Edad,0.003544066779404671
representativo,1101,0,2,2,Aprobación gobierno,-0.003019784332012908
representativo,1101,0,2,2,Confianza Gobierno,0.0028949989372179163
representativo,1101,0,2,2,Componente igualitario,0.002772408098982438
representativo,1101,0,2,2,Nivel educativo,-0.0026110364094311484
representativo,1101,0,2,2,País para todos / poderosos,-0.002408286765551897
representativo,1101,0,2,2,Progreso contra corrupción,-0.001975728715727234
representativo,1960,1,1,0,Situación económica país,-0.0236092258895304
representativo,1960,1,1,0,Economía país vs. año anterior,0.012798214776808306
representativo,1960,1,1,0,País para todos / poderosos,-0.012157702980579646
representativo,1960,1,1,0,Confianza Gobierno,-0.01065620011359105
representativo,1960,1,1,0,Componente igualitario,0.010641268302873395
representativo,1960,1,1,0,Apoyo a la democracia,-0.008253108696108118
representativo,1960,1,1,0,Confianza Poder Judicial,-0.00751791132017846
representativo,1960,1,1,0,Confianza Televisión,-0.0049708613683896305
representativo,1960,1,1,0,Interés en política,0.004481231201467954
representativo,1960,1,1,0,Integridad institucional (corrupción),0.0039013463350129037
representativo,1000,2,2,0,Edad,0.00612307569907773
representativo,1000,2,2,0,Componente igualitario,0.005441875972783563
representativo,1000,2,2,0,Confianza Partidos Políticos,-0.0050440359111653885
representativo,1000,2,2,0,Aprobación gobierno,-0.004519019536340435
representativo,1000,2,2,0,Integridad institucional (corrupción),-0.003934726788209048
representativo,1000,2,2,0,Confianza Policía,-0.003909697486090024
representativo,1000,2,2,0,Democracia electoral,0.0038659831151811527
representativo,1000,2,2,0,Economía país vs. año anterior,-0.0037274567458962468
representativo,1000,2,2,0,Igualdad ante la ley,0.003433537012100297
representativo,1000,2,2,0,Apoyo a la democracia,0.0028936929022063463
representativo,1008,3,1,2,Situación económica país,-0.017893687529385652
representativo,1008,3,1,2,Progreso contra corrupción,-0.01391321416900789
representativo,1008,3,1,2,Componente igualitario,0.013708004348712888
representativo,1008,3,1,2,País para todos / poderosos,-0.008747141899237207
representativo,1008,3,1,2,Nivel socioeconómico,0.008640245041158503
representativo,1008,3,1,2,Confianza Congreso,-0.008570351103251774
representativo,1008,3,1,2,Democracia electoral,0.008519565258461178
representativo,1008,3,1,2,Integridad institucional (corrupción),-0.006830574664024765
representativo,1008,3,1,2,Igualdad ante la ley,0.0049515392761101396
representativo,1008,3,1,2,Confianza FF.AA.,-0.004726444364766656
representativo,486,0,3,3,Componente igualitario,-0.0843911438180175
representativo,486,0,3,3,Apoyo a la democracia,0.06999883102118017
representativo,486,0,3,3,Situación económica país,0.06495848697085647
representativo,486,0,3,3,País para todos / poderosos,0.06339322542274109
representativo,486,0,3,3,Distribución ingreso justa,0.04603423208704399
representativo,486,0,3,3,Progreso contra corrupción,0.03697193222816795
representativo,486,0,3,3,Aprobación gobierno,-0.03355886897908061
representativo,486,0,3,3,Confianza Gobierno,0.02984491869205515
representativo,486,0,3,3,Economía país vs. año anterior,-0.02129039404753852
representativo,486,0,3,3,Confianza FF.AA.,-0.014975291949751637
representativo,1560,1,1,0,Situación económica país,-0.020730533191712624
representativo,1560,1,1,0,País para todos / poderosos,-0.012454167547758552
representativo,1560,1,1,0,Confianza Gobierno,-0.010451905416722225
representativo,1560,1,1,0,Confianza Congreso,-0.009894703751816095
representativo,1560,1,1,0,Progreso contra corrupción,-0.008959781465978981
representativo,1560,1,1,0,Confianza Poder Judicial,-0.007927880155910606
representativo,1560,1,1,0,Confianza Televisión,-0.007687224527246538
representativo,1560,1,1,0,Confianza FF.AA.,-0.007542606423919994
representativo,1560,1,1,0,Componente igualitario,0.0058727390412528935
representativo,1560,1,1,0,Situación ocupacional,0.004392035437294564
representativo,1185,2,2,0,Aprobación gobierno,-0.0038821739076233194
representativo,1185,2,2,0,Economía país vs. año anterior,-0.0037431816983789813
representativo,1185,2,2,0,Confianza Partidos Políticos,-0.002930582965055092
representativo,1185,2,2,0,Integridad institucional (corrupción),0.0026368875037704716
representativo,1185,2,2,0,Apoyo a la democracia,0.0025843500237889075
representativo,1185,2,2,0,Victimización delictiva,0.00252715390111147
representativo,1185,2,2,0,Sexo,0.0023444954547537436
representativo,1185,2,2,0,Progreso contra corrupción,0.0022766895837088774
representativo,1185,2,2,0,Edad,-0.0022732947677147628
representativo,1185,2,2,0,Confianza Televisión,-0.0018996566600938069
representativo,1181,3,2,1,Aprobación gobierno,-0.005082684008168267
representativo,1181,3,2,1,Expectativa económica personal,-0.00496427021984763
representativo,1181,3,2,1,Situación económica país,0.004851297921157011
representativo,1181,3,2,1,Expectativa económica país,-0.0039022498480934765
representativo,1181,3,2,1,Economía país vs. año anterior,-0.0036617267478446978
representativo,1181,3,2,1,Interés en política,0.003232178761938623
representativo,1181,3,2,1,Distribución ingreso justa,-0.0026997239652935484
representativo,1181,3,2,1,Confianza FF.AA.,0.0026245028280847175
representativo,1181,3,2,1,Situación ocupacional,0.0023739858278082984
representativo,1181,3,2,1,Confianza Policía,0.0017792506368422016
error_maximo,1993,0,3,3,Componente igualitario,-0.07396692544502571
error_maximo,1993,0,3,3,Apoyo a la democracia,0.07263655924599853
error_maximo,1993,0,3,3,País para todos / poderosos,0.05828450084388534
error_maximo,1993,0,3,3,Distribución ingreso justa,0.04925624751810272
error_maximo,1993,0,3,3,Progreso contra corrupción,0.04265182979767129
error_maximo,1993,0,3,3,Aprobación gobierno,-0.039509577167645776
error_maximo,1993,0,3,3,Confianza Gobierno,0.03862625840989963
error_maximo,1993,0,3,3,Confianza Poder Judicial,0.03423264758760579
error_maximo,1993,0,3,3,Confianza FF.AA.,-0.024429114865266607
error_maximo,1993,0,3,3,Integridad institucional (corrupción),-0.024006907061504726
error_maximo,1110,0,3,3,Componente igualitario,-0.08563543065360751
error_maximo,1110,0,3,3,Apoyo a la democracia,0.07544356107749191
error_maximo,1110,0,3,3,País para todos / poderosos,0.06545614794534743
error_maximo,1110,0,3,3,Situación económica país,0.06138285057597411
error_maximo,1110,0,3,3,Distribución ingreso justa,0.05341306780182049
error_maximo,1110,0,3,3,Aprobación gobierno,-0.04332650334854806
error_maximo,1110,0,3,3,Confianza Gobierno,0.04218787059176361
error_maximo,1110,0,3,3,Progreso contra corrupción,0.0326693355669486
error_maximo,1110,0,3,3,Confianza Poder Judicial,0.0267568095889543
error_maximo,1110,0,3,3,Nivel educativo,0.020622272915207577
error_maximo,1675,0,3,3,Componente igualitario,-0.08273094489016025
error_maximo,1675,0,3,3,Situación económica país,0.06507862213004219
error_maximo,1675,0,3,3,País para todos / poderosos,0.06175252932457117
error_maximo,1675,0,3,3,Aprobación gobierno,-0.042440794784428956
error_maximo,1675,0,3,3,Progreso contra corrupción,0.03616597476609635
error_maximo,1675,0,3,3,Distribución ingreso justa,0.03502450024084155
error_maximo,1675,0,3,3,Nivel educativo,0.03215431033101411
error_maximo,1675,0,3,3,Confianza Gobierno,0.027861909990080893
error_maximo,1675,0,3,3,Expectativa económica personal,-0.021766770713876848
error_maximo,1675,0,3,3,Expectativa económica país,-0.016421541222706077
error_maximo,40,0,3,3,Expectativa económica país,-0.004586754867513396
error_maximo,40,0,3,3,Aprobación gobierno,-0.004406950260473896
error_maximo,40,0,3,3,Expectativa económica personal,-0.004092782591102908
error_maximo,40,0,3,3,Distribución ingreso justa,0.004059848832362743
error_maximo,40,0,3,3,Confianza FF.AA.,-0.003984802166505418
error_maximo,40,0,3,3,Igualdad ante la ley,0.0038076878800805745
error_maximo,40,0,3,3,Edad,0.003445253259528833
error_maximo,40,0,3,3,Confianza Gobierno,0.0029898975177024907
error_maximo,40,0,3,3,Componente igualitario,0.0025665013406326177
error_maximo,40,0,3,3,Democracia electoral,0.002354204000409589
discordante,243,2,1,1,Situación económica país,-0.018518617648262695
discordante,243,2,1,1,Economía país vs. año anterior,0.015810293112699825
discordante,243,2,1,1,Confianza Poder Judicial,-0.014296349552584334
discordante,243,2,1,1,Progreso contra corrupción,-0.014036219014001108
discordante,243,2,1,1,Confianza Partidos Políticos,-0.013914346089817658
discordante,243,2,1,1,Confianza Congreso,-0.01225000024835753
discordante,243,2,1,1,Nivel educativo,0.010809398141468269
discordante,243,2,1,1,Confianza Gobierno,-0.01026643208655556
discordante,243,2,1,1,Democracia electoral,0.009603734101666452
discordante,243,2,1,1,Integridad institucional (corrupción),-0.006465228742039928
discordante,1314,1,1,0,Situación económica país,-0.018952694631192105
discordante,1314,1,1,0,Componente igualitario,0.01414808515874038
discordante,1314,1,1,0,Confianza Poder Judicial,-0.010805064384598554
discordante,1314,1,1,0,Confianza Congreso,-0.00958126961363382
discordante,1314,1,1,0,Democracia electoral,0.008483423966756238
discordante,1314,1,1,0,Integridad institucional (corrupción),-0.007619932587315266
discordante,1314,1,1,0,Confianza Gobierno,-0.007271104856122171
discordante,1314,1,1,0,Apoyo a la democracia,-0.006554203201640161
discordante,1314,1,1,0,Progreso contra corrupción,-0.00355325738499357
discordante,1314,1,1,0,Confianza Televisión,-0.002592488646879282
discordante,1051,1,1,0,Situación económica país,-0.020298547951189103
discordante,1051,1,1,0,Componente igualitario,0.012941620870118522
discordante,1051,1,1,0,Apoyo a la democracia,-0.010064081673822712
discordante,1051,1,1,0,Expectativa económica personal,-0.007904206784209004
discordante,1051,1,1,0,Aprobación gobierno,0.00515344127346969
discordante,1051,1,1,0,Democracia electoral,0.0051198308131519725
discordante,1051,1,1,0,Integridad institucional (corrupción),-0.005090914435112095
discordante,1051,1,1,0,Interés en política,0.004937450287909224
discordante,1051,1,1,0,Confianza Poder Judicial,-0.00482203164332914
discordante,1051,1,1,0,Igualdad ante la ley,0.003633884500498207
discordante,240,1,1,0,Situación económica país,-0.02111574500923172
discordante,240,1,1,0,Progreso contra corrupción,-0.01550182514369181
discordante,240,1,1,0,Confianza Gobierno,-0.01514945998246535
discordante,240,1,1,0,Democracia electoral,0.011137586991452968
discordante,240,1,1,0,Economía país vs. año anterior,0.011034308575950275
discordante,240,1,1,0,Componente igualitario,0.010513948363719156
discordante,240,1,1,0,Expectativa económica personal,-0.006883047596957162
discordante,240,1,1,0,Igualdad ante la ley,0.006559072487978813
discordante,240,1,1,0,Nivel educativo,0.003850129414344463
discordante,240,1,1,0,Integridad institucional (corrupción),-0.0037698418712145674
