modelo,estrategia_balanceo,variante_target,split,accuracy,balanced_accuracy,f1_macro,f1_weighted,kappa_lineal,kappa_cuadratico,mae_ordinal,auroc_macro
CatBoost,pesos_clase,binario,test,0.7652206133850188,0.7458500684034017,0.7389850058129543,0.7680392370520706,0.4786424597055713,0.4786424597055713,0.23477938661498118,
XGBoost,pesos_clase,binario,test,0.7630828867859993,0.7456375963980642,0.7376273843881012,0.7663207297886603,0.4761653688372265,0.4761653688372265,0.2369171132140007,
TabNet,pesos_clase,binario,test,0.7546459924752024,0.7509902637319029,0.7347172589087538,0.7602457676516317,0.4728154077633062,0.4728154077633062,0.24535400752479763,
LightGBM,pesos_clase,binario,test,0.7598335423554897,0.7430956606105383,0.7345588362983644,0.7633168105466249,0.4701766980947091,0.4701766980947091,0.2401664576445103,
OLO,pesos_clase,binario,test,0.7465511344202486,0.7440173085520482,0.7268690992021095,0.7526116464326293,0.4577309573224724,0.4577309573224724,0.25344886557975144,
XGBoost,pesos_clase,likert_continuo,test,0.4795063276707331,0.42718731431554147,0.42846340925351595,0.46541045491681254,0.36772390873266436,0.5082810272991025,0.5805210352297343,
LightGBM,pesos_clase,likert_continuo,test,0.4800193820544978,0.41983371547176285,0.41581108035380704,0.4572340099795907,0.3601795894906821,0.5004889235255436,0.5749344430509634,
CatBoost,pesos_clase,likert_continuo,test,0.4730361418310341,0.4035738349531699,0.3928541402378185,0.4391703096164585,0.34023452689523137,0.48093795453824284,0.5803500171018128,
Ridge,pesos_clase,likert_continuo,test,0.4593831946186296,0.40235169755625877,0.3900492299687293,0.42855547606583544,0.334309177782355,0.4803330215666063,0.597138296659446,0.7313599035653557
CatBoost,pesos_clase,ordinal_4clases,test,0.4905940029643142,0.5037277798070372,0.47991462855746037,0.48599477933994983,0.42625004822948265,0.5417967413232854,0.6296602439858625,0.7646525317575796
XGBoost,pesos_clase,ordinal_4clases,test,0.4910785543267586,0.5099002806663362,0.4808064328625584,0.48430571784652254,0.42666581550826954,0.537056913860713,0.6380401322540189,0.7684026256688444
LightGBM,pesos_clase,ordinal_4clases,test,0.495724546801961,0.5121549999564076,0.48541491763196143,0.49022037591297124,0.4285585921062466,0.5367173191804544,0.6324820430965682,0.767841579568942
OLO,pesos_clase,ordinal_4clases,test,0.4364952684984608,0.4693833275705525,0.41770011452663613,0.42324123132641134,0.39056710718699716,0.5197902256998865,0.7231786569376354,0.745803349728618
TabNet,pesos_clase,ordinal_4clases,test,0.46984380344316495,0.4990106015596878,0.4581988808479181,0.4606913118416711,0.40607932045794626,0.5126822706496033,0.6850986204537681,0.7573042328495716
