modelo,estrategia_balanceo,clase,etiqueta,precision,recall,f1,soporte,pct_soporte
CatBoost,pesos_clase,0,0 — Para nada satisfecho,0.3927,0.5221,0.4483,249,11.67
CatBoost,pesos_clase,1,1 — No muy satisfecho,0.4263,0.4809,0.452,445,20.85
CatBoost,pesos_clase,2,2 — Más bien satisfecho,0.6031,0.3782,0.4649,936,43.86
CatBoost,pesos_clase,3,3 — Muy satisfecho,0.4692,0.6647,0.5501,504,23.62
CatBoost,sin_balanceo,0,0 — Para nada satisfecho,0.6935,0.1727,0.2765,249,11.67
CatBoost,sin_balanceo,1,1 — No muy satisfecho,0.4125,0.4292,0.4207,445,20.85
CatBoost,sin_balanceo,2,2 — Más bien satisfecho,0.5316,0.7457,0.6207,936,43.86
CatBoost,sin_balanceo,3,3 — Muy satisfecho,0.6216,0.3651,0.46,504,23.62
CatBoost,smotenc,0,0 — Para nada satisfecho,0.6429,0.253,0.3631,249,11.67
CatBoost,smotenc,1,1 — No muy satisfecho,0.4093,0.436,0.4222,445,20.85
CatBoost,smotenc,2,2 — Más bien satisfecho,0.5369,0.7297,0.6187,936,43.86
CatBoost,smotenc,3,3 — Muy satisfecho,0.6414,0.369,0.4685,504,23.62
LightGBM,pesos_clase,0,0 — Para nada satisfecho,0.3894,0.5301,0.449,249,11.67
LightGBM,pesos_clase,1,1 — No muy satisfecho,0.4437,0.4697,0.4563,445,20.85
LightGBM,pesos_clase,2,2 — Más bien satisfecho,0.5847,0.3686,0.4522,936,43.86
LightGBM,pesos_clase,3,3 — Muy satisfecho,0.4796,0.6984,0.5687,504,23.62
LightGBM,sin_balanceo,0,0 — Para nada satisfecho,0.6786,0.2289,0.3423,249,11.67
LightGBM,sin_balanceo,1,1 — No muy satisfecho,0.4322,0.4225,0.4273,445,20.85
LightGBM,sin_balanceo,2,2 — Más bien satisfecho,0.5337,0.7436,0.6214,936,43.86
LightGBM,sin_balanceo,3,3 — Muy satisfecho,0.6013,0.371,0.4589,504,23.62
LightGBM,smotenc,0,0 — Para nada satisfecho,0.6709,0.2129,0.3232,249,11.67
LightGBM,smotenc,1,1 — No muy satisfecho,0.4175,0.4831,0.4479,445,20.85
LightGBM,smotenc,2,2 — Más bien satisfecho,0.5221,0.6699,0.5868,936,43.86
LightGBM,smotenc,3,3 — Muy satisfecho,0.5605,0.377,0.4508,504,23.62
OLO,pesos_clase,0,0 — Para nada satisfecho,0.2936,0.6627,0.4069,249,11.67
OLO,pesos_clase,1,1 — No muy satisfecho,0.3085,0.2045,0.2459,445,20.85
OLO,pesos_clase,2,2 — Más bien satisfecho,0.544,0.2511,0.3436,936,43.86
OLO,pesos_clase,3,3 — Muy satisfecho,0.4355,0.7302,0.5456,504,23.62
OLO,sin_balanceo,0,0 — Para nada satisfecho,0.7612,0.2048,0.3228,249,11.67
OLO,sin_balanceo,1,1 — No muy satisfecho,0.4097,0.3978,0.4036,445,20.85
OLO,sin_balanceo,2,2 — Más bien satisfecho,0.5208,0.7885,0.6273,936,43.86
OLO,sin_balanceo,3,3 — Muy satisfecho,0.6422,0.2778,0.3878,504,23.62
OLO,smotenc,0,0 — Para nada satisfecho,0.2992,0.6225,0.4042,249,11.67
OLO,smotenc,1,1 — No muy satisfecho,0.3168,0.2292,0.266,445,20.85
OLO,smotenc,2,2 — Más bien satisfecho,0.5412,0.2596,0.3509,936,43.86
OLO,smotenc,3,3 — Muy satisfecho,0.4331,0.7262,0.5426,504,23.62
TabNet,pesos_clase,0,0 — Para nada satisfecho,0.264,0.3775,0.3107,249,11.67
TabNet,pesos_clase,1,1 — No muy satisfecho,0.3005,0.2876,0.2939,445,20.85
TabNet,pesos_clase,2,2 — Más bien satisfecho,0.4718,0.3483,0.4007,936,43.86
TabNet,pesos_clase,3,3 — Muy satisfecho,0.3691,0.4841,0.4189,504,23.62
TabNet,sin_balanceo,0,0 — Para nada satisfecho,0.1565,0.2691,0.1979,249,11.67
TabNet,sin_balanceo,1,1 — No muy satisfecho,0.4146,0.0382,0.07,445,20.85
TabNet,sin_balanceo,2,2 — Más bien satisfecho,0.417,0.3088,0.3548,936,43.86
TabNet,sin_balanceo,3,3 — Muy satisfecho,0.2984,0.5754,0.393,504,23.62
TabNet,smotenc,0,0 — Para nada satisfecho,0.2319,0.3855,0.2896,249,11.67
TabNet,smotenc,1,1 — No muy satisfecho,0.3305,0.3461,0.3381,445,20.85
TabNet,smotenc,2,2 — Más bien satisfecho,0.5076,0.2489,0.3341,936,43.86
TabNet,smotenc,3,3 — Muy satisfecho,0.4,0.631,0.4896,504,23.62
XGBoost,pesos_clase,0,0 — Para nada satisfecho,0.5938,0.2289,0.3304,249,11.67
XGBoost,pesos_clase,1,1 — No muy satisfecho,0.4075,0.4652,0.4344,445,20.85
XGBoost,pesos_clase,2,2 — Más bien satisfecho,0.5388,0.5791,0.5582,936,43.86
XGBoost,pesos_clase,3,3 — Muy satisfecho,0.4885,0.5079,0.4981,504,23.62
XGBoost,sin_balanceo,0,0 — Para nada satisfecho,0.6667,0.2169,0.3273,249,11.67
XGBoost,sin_balanceo,1,1 — No muy satisfecho,0.4292,0.4225,0.4258,445,20.85
XGBoost,sin_balanceo,2,2 — Más bien satisfecho,0.5322,0.7158,0.6105,936,43.86
XGBoost,sin_balanceo,3,3 — Muy satisfecho,0.5702,0.4028,0.4721,504,23.62
XGBoost,smotenc,0,0 — Para nada satisfecho,0.6627,0.2209,0.3313,249,11.67
XGBoost,smotenc,1,1 — No muy satisfecho,0.4431,0.4022,0.4217,445,20.85
XGBoost,smotenc,2,2 — Más bien satisfecho,0.536,0.7083,0.6102,936,43.86
XGBoost,smotenc,3,3 — Muy satisfecho,0.561,0.4563,0.5033,504,23.62
