variable,etiqueta,bloque,importancia,ic_inf,ic_sup,ee_bootstrap,rango,rango_ic_inf,rango_ic_sup,pct_top5,pct_top15
A_001_001,Apoyo a la democracia,Percepción política,0.277521,0.269956,0.285202,0.004068,1,1,1,100.0,100.0
D_001_001,Situación económica país,Evaluación económica,0.233448,0.223324,0.243811,0.005487,2,2,2,100.0,100.0
B_006_061,Aprobación gobierno,Percepción política,0.182358,0.173428,0.19164,0.004692,3,3,4,100.0,100.0
H_002_031,Confianza Gobierno,Confianza institucional,0.167937,0.161831,0.17427,0.003288,4,4,5,100.0,100.0
C_006_003_011,Distribución ingreso justa,Evaluación económica,0.148682,0.143864,0.153728,0.002567,5,5,6,83.4,100.0
B_001_101,País para todos / poderosos,Percepción política,0.136361,0.134383,0.138556,0.001084,6,6,7,0.0,100.0
v2x_egal,Componente igualitario,Contexto democrático,0.128461,0.095914,0.174005,0.020434,7,4,8,16.6,100.0
D_001_021,Economía país vs. año anterior,Evaluación económica,0.094277,0.089296,0.098859,0.002481,8,7,9,0.0,100.0
G_005_001,Progreso contra corrupción,Corrupción y seguridad,0.092326,0.085485,0.09802,0.003178,9,8,9,0.0,100.0
H_002_011,Confianza Congreso,Confianza institucional,0.086699,0.083248,0.090185,0.001785,10,10,10,0.0,100.0
H_002_241,Confianza Partidos Políticos,Confianza institucional,0.071156,0.06961,0.072858,0.000815,11,11,12,0.0,100.0
v2xcl_rol,Igualdad ante la ley,Contexto democrático,0.062048,0.043849,0.083048,0.01023,12,11,15,0.0,100.0
D_001_041,Expectativa económica país,Evaluación económica,0.059942,0.055317,0.064554,0.002294,13,12,15,0.0,100.0
H_002_041,Confianza Poder Judicial,Confianza institucional,0.057139,0.055179,0.059138,0.001005,14,12,15,0.0,100.0
v2x_corr,Integridad institucional (corrupción),Contexto democrático,0.055974,0.046722,0.065999,0.005023,15,12,15,0.0,100.0
A_007_001,Interés en política,Percepción política,0.0328,0.031981,0.033498,0.00039,16,16,17,0.0,0.0
H_002_161,Confianza FF.AA.,Confianza institucional,0.030075,0.026431,0.034931,0.002306,17,16,19,0.0,0.0
H_002_111,Confianza Policía,Confianza institucional,0.028971,0.027828,0.030222,0.000638,18,17,19,0.0,0.0
H_002_131,Confianza Televisión,Confianza institucional,0.027723,0.025819,0.02952,0.00097,19,18,19,0.0,0.0
D_001_091,Expectativa económica personal,Evaluación económica,0.024959,0.02216,0.027762,0.001455,20,20,20,0.0,0.0
v2x_polyarchy,Democracia electoral,Contexto democrático,0.019059,0.017384,0.020778,0.000842,21,21,21,0.0,0.0
I_001_001,Victimización delictiva,Corrupción y seguridad,0.01208,0.011081,0.012925,0.000489,22,22,22,0.0,0.0
G_002_011,Conoce caso de corrupción,Corrupción y seguridad,0.006556,0.006052,0.007,0.000234,23,23,23,0.0,0.0
S_101,Nivel educativo,Características sociodemográficas,0.006074,0.005839,0.006292,0.000114,24,24,24,0.0,0.0
S_001,Sexo,Características sociodemográficas,0.0,0.0,0.0,0.0,25,25,25,0.0,0.0
S_301,Nivel socioeconómico,Características sociodemográficas,0.0,0.0,0.0,0.0,25,25,25,0.0,0.0
S_002,Edad,Características sociodemográficas,0.0,0.0,0.0,0.0,25,25,25,0.0,0.0
S_200,Situación ocupacional,Características sociodemográficas,0.0,0.0,0.0,0.0,25,25,25,0.0,0.0
