variable,etiqueta,bloque,importancia,ic_inf,ic_sup,ee_bootstrap,rango,rango_ic_inf,rango_ic_sup,pct_top5,pct_top15
A_001_001,Apoyo a la democracia,Percepción política,0.213574,0.210186,0.216953,0.001747,1,1,1,100.0,100.0
H_002_031,Confianza Gobierno,Confianza institucional,0.169736,0.166065,0.173266,0.001833,2,2,2,100.0,100.0
D_001_001,Situación económica país,Evaluación económica,0.163682,0.160215,0.167315,0.001845,3,3,3,100.0,100.0
B_006_061,Aprobación gobierno,Percepción política,0.143556,0.141695,0.145219,0.000938,4,4,5,100.0,100.0
B_001_101,País para todos / poderosos,Percepción política,0.124658,0.122514,0.126663,0.001072,5,5,6,68.7,100.0
v2x_egal,Componente igualitario,Contexto democrático,0.117655,0.093028,0.146892,0.013577,6,4,7,29.8,100.0
C_006_003_011,Distribución ingreso justa,Evaluación económica,0.117373,0.112238,0.122254,0.002626,7,6,7,1.5,100.0
D_001_021,Economía país vs. año anterior,Evaluación económica,0.057621,0.053908,0.061504,0.001882,8,8,8,0.0,100.0
G_005_001,Progreso contra corrupción,Corrupción y seguridad,0.043871,0.042676,0.044991,0.000608,9,9,9,0.0,100.0
D_001_041,Expectativa económica país,Evaluación económica,0.039293,0.037062,0.041476,0.00113,10,10,10,0.0,100.0
H_002_241,Confianza Partidos Políticos,Confianza institucional,0.03657,0.036312,0.036833,0.000139,11,11,11,0.0,100.0
G_002_011,Conoce caso de corrupción,Corrupción y seguridad,0.033127,0.032628,0.033642,0.000269,12,12,12,0.0,100.0
H_002_011,Confianza Congreso,Confianza institucional,0.029129,0.028602,0.029618,0.000262,13,13,13,0.0,100.0
H_002_041,Confianza Poder Judicial,Confianza institucional,0.024701,0.024267,0.025136,0.000225,14,14,14,0.0,100.0
I_001_001,Victimización delictiva,Corrupción y seguridad,0.016757,0.015804,0.017793,0.000537,15,15,15,0.0,100.0
D_001_091,Expectativa económica personal,Evaluación económica,0.0073,0.006644,0.00805,0.000353,16,16,17,0.0,0.0
v2x_polyarchy,Democracia electoral,Contexto democrático,0.00695,0.00616,0.008048,0.000489,17,16,17,0.0,0.0
S_001,Sexo,Características sociodemográficas,0.003402,0.003385,0.003418,9e-06,18,18,18,0.0,0.0
v2xcl_rol,Igualdad ante la ley,Contexto democrático,0.001255,0.00108,0.001471,0.0001,19,19,19,0.0,0.0
v2x_corr,Integridad institucional (corrupción),Contexto democrático,0.000791,0.000567,0.001047,0.000121,20,20,20,0.0,0.0
H_002_161,Confianza FF.AA.,Confianza institucional,0.0,0.0,0.0,0.0,21,21,21,0.0,0.0
H_002_131,Confianza Televisión,Confianza institucional,0.0,0.0,0.0,0.0,21,21,21,0.0,0.0
H_002_111,Confianza Policía,Confianza institucional,0.0,0.0,0.0,0.0,21,21,21,0.0,0.0
A_007_001,Interés en política,Percepción política,0.0,0.0,0.0,0.0,21,21,21,0.0,0.0
S_301,Nivel socioeconómico,Características sociodemográficas,0.0,0.0,0.0,0.0,21,21,21,0.0,0.0
S_200,Situación ocupacional,Características sociodemográficas,0.0,0.0,0.0,0.0,21,21,21,0.0,0.0
S_101,Nivel educativo,Características sociodemográficas,0.0,0.0,0.0,0.0,21,21,21,0.0,0.0
S_002,Edad,Características sociodemográficas,0.0,0.0,0.0,0.0,21,21,21,0.0,0.0
