variable,etiqueta,bloque,importancia,ic_inf,ic_sup,ee_bootstrap,rango,rango_ic_inf,rango_ic_sup,pct_top5,pct_top15
A_001_001,Apoyo a la democracia,Percepción política,0.208063,0.20151,0.212203,0.003158,1,1,1,100.0,100.0
H_002_031,Confianza Gobierno,Confianza institucional,0.163155,0.159551,0.169182,0.002559,2,2,2,100.0,100.0
B_001_101,País para todos / poderosos,Percepción política,0.157056,0.154402,0.159861,0.001599,3,3,3,100.0,100.0
D_001_001,Situación económica país,Evaluación económica,0.148263,0.145687,0.151245,0.001754,4,4,4,100.0,100.0
B_006_061,Aprobación gobierno,Percepción política,0.129806,0.125087,0.13376,0.002572,5,5,6,70.0,100.0
v2x_egal,Componente igualitario,Contexto democrático,0.120999,0.095642,0.145359,0.013909,6,5,7,30.0,100.0
C_006_003_011,Distribución ingreso justa,Evaluación económica,0.108607,0.105923,0.114744,0.002258,7,6,7,0.0,100.0
G_005_001,Progreso contra corrupción,Corrupción y seguridad,0.090466,0.088187,0.092618,0.001189,8,8,8,0.0,100.0
D_001_021,Economía país vs. año anterior,Evaluación económica,0.082331,0.080632,0.084483,0.001193,9,9,9,0.0,100.0
H_002_041,Confianza Poder Judicial,Confianza institucional,0.053655,0.052264,0.055052,0.000638,10,10,10,0.0,100.0
H_002_241,Confianza Partidos Políticos,Confianza institucional,0.051272,0.05032,0.052373,0.000617,11,11,12,0.0,100.0
H_002_011,Confianza Congreso,Confianza institucional,0.050017,0.048767,0.051419,0.000694,12,12,13,0.0,100.0
I_001_001,Victimización delictiva,Corrupción y seguridad,0.048705,0.044609,0.052789,0.002363,13,11,15,0.0,96.0
v2x_corr,Integridad institucional (corrupción),Contexto democrático,0.045722,0.042729,0.048555,0.001658,14,13,16,0.0,80.0
D_001_041,Expectativa económica país,Evaluación económica,0.044829,0.043484,0.046663,0.000823,15,14,16,0.0,82.0
D_001_091,Expectativa económica personal,Evaluación económica,0.044321,0.041691,0.046196,0.001186,16,14,16,0.0,42.0
H_002_131,Confianza Televisión,Confianza institucional,0.041676,0.040543,0.042877,0.000595,17,17,18,0.0,0.0
S_001,Sexo,Características sociodemográficas,0.041018,0.040698,0.041433,0.000214,18,17,19,0.0,0.0
S_101,Nivel educativo,Características sociodemográficas,0.039855,0.03792,0.042347,0.001226,19,17,19,0.0,0.0
S_301,Nivel socioeconómico,Características sociodemográficas,0.0351,0.034436,0.03587,0.00035,20,20,21,0.0,0.0
A_007_001,Interés en política,Percepción política,0.034941,0.034149,0.036447,0.00068,21,20,21,0.0,0.0
G_002_011,Conoce caso de corrupción,Corrupción y seguridad,0.029387,0.027988,0.031421,0.000919,22,22,25,0.0,0.0
v2x_polyarchy,Democracia electoral,Contexto democrático,0.028807,0.025604,0.031548,0.001801,23,22,25,0.0,0.0
H_002_161,Confianza FF.AA.,Confianza institucional,0.028178,0.027261,0.029902,0.000705,24,22,25,0.0,0.0
v2xcl_rol,Igualdad ante la ley,Contexto democrático,0.028174,0.02613,0.030246,0.001121,25,22,25,0.0,0.0
S_002,Edad,Características sociodemográficas,0.023182,0.022442,0.02398,0.000406,26,26,26,0.0,0.0
S_200,Situación ocupacional,Características sociodemográficas,0.0147,0.014048,0.015429,0.000384,27,27,27,0.0,0.0
H_002_111,Confianza Policía,Confianza institucional,0.013415,0.012943,0.013837,0.000252,28,28,28,0.0,0.0
