variable,etiqueta,bloque,shap_medio
A_001_001,Apoyo a la democracia,Percepción política,0.21357365842034287
H_002_031,Confianza Gobierno,Confianza institucional,0.16973632284937407
D_001_001,Situación económica país,Evaluación económica,0.16368173843165446
B_006_061,Aprobación gobierno,Percepción política,0.1435563052151754
B_001_101,País para todos / poderosos,Percepción política,0.12465761440250094
v2x_egal,Componente igualitario,Contexto democrático,0.11765549940826736
C_006_003_011,Distribución ingreso justa,Evaluación económica,0.11737316897900926
D_001_021,Economía país vs. año anterior,Evaluación económica,0.05762063989252708
G_005_001,Progreso contra corrupción,Corrupción y seguridad,0.0438712944495816
D_001_041,Expectativa económica país,Evaluación económica,0.03929318618995482
H_002_241,Confianza Partidos Políticos,Confianza institucional,0.036569693744091525
G_002_011,Conoce caso de corrupción,Corrupción y seguridad,0.033127300848191085
H_002_011,Confianza Congreso,Confianza institucional,0.02912913496048966
H_002_041,Confianza Poder Judicial,Confianza institucional,0.024700810604570453
I_001_001,Victimización delictiva,Corrupción y seguridad,0.016756680474643796
D_001_091,Expectativa económica personal,Evaluación económica,0.00730009572965481
v2x_polyarchy,Democracia electoral,Contexto democrático,0.006950286752627668
S_001,Sexo,Características sociodemográficas,0.00340177952200722
v2xcl_rol,Igualdad ante la ley,Contexto democrático,0.0012547849365050334
v2x_corr,Integridad institucional (corrupción),Contexto democrático,0.0007910960061376683
H_002_161,Confianza FF.AA.,Confianza institucional,0.0
H_002_131,Confianza Televisión,Confianza institucional,0.0
H_002_111,Confianza Policía,Confianza institucional,0.0
A_007_001,Interés en política,Percepción política,0.0
S_301,Nivel socioeconómico,Características sociodemográficas,0.0
S_200,Situación ocupacional,Características sociodemográficas,0.0
S_101,Nivel educativo,Características sociodemográficas,0.0
S_002,Edad,Características sociodemográficas,0.0
