ranking,variable,etiqueta,bloque,shap_medio,convergencia,Easton,Norris,Lewis-Beck & Stegmaier,Devine
1,A_001_001,Apoyo a la democracia,Percepción política,0.2136,Convergencia,~ Parcial,✓ Converge,✓ Converge,✓ Converge
2,H_002_031,Confianza Gobierno,Confianza institucional,0.1697,Convergencia,✓ Converge,✓ Converge,~ Parcial,✓ Converge
3,D_001_001,Situación económica país,Evaluación económica,0.1637,Parcial,✓ Converge,✗ Diverge,✓ Converge,~ Parcial
4,B_006_061,Aprobación gobierno,Percepción política,0.1436,Convergencia,~ Parcial,✓ Converge,✓ Converge,✓ Converge
5,B_001_101,País para todos / poderosos,Percepción política,0.1247,Convergencia,~ Parcial,✓ Converge,✓ Converge,✓ Converge
6,v2x_egal,Componente igualitario,Contexto democrático,0.1177,Divergencia,✗ Diverge,✗ Diverge,✗ Diverge,✗ Diverge
7,C_006_003_011,Distribución ingreso justa,Evaluación económica,0.1174,Parcial,✓ Converge,✗ Diverge,✓ Converge,~ Parcial
8,D_001_021,Economía país vs. año anterior,Evaluación económica,0.0576,Parcial,✓ Converge,✗ Diverge,✓ Converge,~ Parcial
9,G_005_001,Progreso contra corrupción,Corrupción y seguridad,0.0439,Divergencia,✗ Diverge,~ Parcial,✗ Diverge,~ Parcial
10,D_001_041,Expectativa económica país,Evaluación económica,0.0393,Parcial,✓ Converge,✗ Diverge,✓ Converge,~ Parcial
11,H_002_241,Confianza Partidos Políticos,Confianza institucional,0.0366,Convergencia,✓ Converge,✓ Converge,~ Parcial,✓ Converge
12,G_002_011,Conoce caso de corrupción,Corrupción y seguridad,0.0331,Divergencia,✗ Diverge,~ Parcial,✗ Diverge,~ Parcial
13,H_002_011,Confianza Congreso,Confianza institucional,0.0291,Convergencia,✓ Converge,✓ Converge,~ Parcial,✓ Converge
14,H_002_041,Confianza Poder Judicial,Confianza institucional,0.0247,Convergencia,✓ Converge,✓ Converge,~ Parcial,✓ Converge
15,I_001_001,Victimización delictiva,Corrupción y seguridad,0.0168,Divergencia,✗ Diverge,~ Parcial,✗ Diverge,~ Parcial
16,D_001_091,Expectativa económica personal,Evaluación económica,0.0073,Parcial,✓ Converge,✗ Diverge,✓ Converge,~ Parcial
17,v2x_polyarchy,Democracia electoral,Contexto democrático,0.007,Divergencia,✗ Diverge,✗ Diverge,✗ Diverge,✗ Diverge
18,S_001,Sexo,Características sociodemográficas,0.0034,Divergencia,✗ Diverge,✗ Diverge,✗ Diverge,✗ Diverge
19,v2xcl_rol,Igualdad ante la ley,Contexto democrático,0.0013,Divergencia,✗ Diverge,✗ Diverge,✗ Diverge,✗ Diverge
20,v2x_corr,Integridad institucional (corrupción),Contexto democrático,0.0008,Divergencia,✗ Diverge,✗ Diverge,✗ Diverge,✗ Diverge
