ranking,variable,etiqueta,bloque,shap_medio,convergencia,Easton,Norris,Lewis-Beck & Stegmaier,Devine
1,A_001_001,Apoyo a la democracia,Percepción política,0.2151,Convergencia,~ Parcial,✓ Converge,✓ Converge,✓ Converge
2,H_002_031,Confianza Gobierno,Confianza institucional,0.143,Convergencia,✓ Converge,✓ Converge,~ Parcial,✓ Converge
3,B_006_061,Aprobación gobierno,Percepción política,0.1401,Convergencia,~ Parcial,✓ Converge,✓ Converge,✓ Converge
4,C_006_003_011,Distribución ingreso justa,Evaluación económica,0.1392,Parcial,✓ Converge,✗ Diverge,✓ Converge,~ Parcial
5,D_001_001,Situación económica país,Evaluación económica,0.131,Parcial,✓ Converge,✗ Diverge,✓ Converge,~ Parcial
6,B_001_101,País para todos / poderosos,Percepción política,0.1095,Convergencia,~ Parcial,✓ Converge,✓ Converge,✓ Converge
7,v2x_egal,Componente igualitario,Contexto democrático,0.1061,Divergencia,✗ Diverge,✗ Diverge,✗ Diverge,✗ Diverge
8,D_001_041,Expectativa económica país,Evaluación económica,0.0874,Parcial,✓ Converge,✗ Diverge,✓ Converge,~ Parcial
9,D_001_021,Economía país vs. año anterior,Evaluación económica,0.0812,Parcial,✓ Converge,✗ Diverge,✓ Converge,~ Parcial
10,H_002_041,Confianza Poder Judicial,Confianza institucional,0.0804,Convergencia,✓ Converge,✓ Converge,~ Parcial,✓ Converge
11,G_005_001,Progreso contra corrupción,Corrupción y seguridad,0.077,Divergencia,✗ Diverge,~ Parcial,✗ Diverge,~ Parcial
12,H_002_011,Confianza Congreso,Confianza institucional,0.0687,Convergencia,✓ Converge,✓ Converge,~ Parcial,✓ Converge
13,I_001_001,Victimización delictiva,Corrupción y seguridad,0.0649,Divergencia,✗ Diverge,~ Parcial,✗ Diverge,~ Parcial
14,S_101,Nivel educativo,Características sociodemográficas,0.0587,Divergencia,✗ Diverge,✗ Diverge,✗ Diverge,✗ Diverge
15,S_301,Nivel socioeconómico,Características sociodemográficas,0.0526,Divergencia,✗ Diverge,✗ Diverge,✗ Diverge,✗ Diverge
16,S_001,Sexo,Características sociodemográficas,0.045,Divergencia,✗ Diverge,✗ Diverge,✗ Diverge,✗ Diverge
17,H_002_131,Confianza Televisión,Confianza institucional,0.0426,Convergencia,✓ Converge,✓ Converge,~ Parcial,✓ Converge
18,S_200,Situación ocupacional,Características sociodemográficas,0.0425,Divergencia,✗ Diverge,✗ Diverge,✗ Diverge,✗ Diverge
19,D_001_091,Expectativa económica personal,Evaluación económica,0.042,Parcial,✓ Converge,✗ Diverge,✓ Converge,~ Parcial
20,v2x_corr,Integridad institucional (corrupción),Contexto democrático,0.0384,Divergencia,✗ Diverge,✗ Diverge,✗ Diverge,✗ Diverge
