variable,atencion_tabnet
v2x_egal,0.18053244522962478
H_002_161,0.15652858951600715
D_001_001,0.1515808946979733
D_001_091,0.12689566144441028
A_001_001,0.07553083583674636
H_002_011,0.06438191493201051
H_002_031,0.0537775978822599
v2x_polyarchy,0.04132986292840455
B_001_101,0.0395420577717005
G_002_011,0.03015621128711394
H_002_041,0.02916332100056616
S_001,0.01671702200433246
v2x_corr,0.010138077150659515
B_006_061,0.007933559328344825
D_001_041,0.005180632812214343
S_200,0.0029690420222573265
C_006_003_011,0.002634099974355635
H_002_241,0.0022418053977666295
S_101,0.0020181467084921475
H_002_131,0.0007352745740568289
H_002_111,7.5517781581410395e-06
S_301,5.395784767397189e-06
D_001_021,0.0
A_007_001,0.0
I_001_001,0.0
G_005_001,0.0
S_002,0.0
v2xcl_rol,0.0
