variable,atencion_tabnet
H_002_031,0.08186682970225537
C_006_003_011,0.06409953744185663
v2x_egal,0.058819953387266775
B_006_061,0.0582166680622307
D_001_021,0.05082822559316365
H_002_041,0.048359209194793015
H_002_011,0.0471679752571085
B_001_101,0.042440689658714635
v2x_corr,0.04049407659727823
G_005_001,0.0402047648978006
S_002,0.039562188532106426
v2x_polyarchy,0.03761881682273545
H_002_241,0.0335772262995058
D_001_041,0.032622465296657153
H_002_161,0.03231923630797264
H_002_111,0.032084680236042926
A_001_001,0.030651400155851306
H_002_131,0.030246258252464495
S_101,0.023703880124739393
D_001_091,0.023342081489501003
S_301,0.022389150674283546
A_007_001,0.020765403929262453
S_200,0.020708514227993618
D_001_001,0.01864815989152888
G_002_011,0.018193926732741925
v2xcl_rol,0.018123911942578855
I_001_001,0.016484835111851132
S_001,0.016459937755953575
