variable,atencion_tabnet
B_006_061,0.06979595282662092
D_001_091,0.04357397853544248
H_002_131,0.041985639644187264
H_002_111,0.04134748800220401
C_006_003_011,0.0410746006998208
H_002_011,0.03846959278600787
D_001_001,0.03802521690241254
A_001_001,0.03799421554340194
G_002_011,0.03693176034012909
S_101,0.036911085358604157
I_001_001,0.036446094781394954
S_001,0.0361618294362241
A_007_001,0.03573822575467139
G_005_001,0.035644122373012406
S_301,0.0352902198961659
v2x_corr,0.03455280110468308
B_001_101,0.03424277553033763
H_002_241,0.03413944894039454
H_002_031,0.033814665855371386
S_002,0.03312223357808001
D_001_041,0.03289676021907047
D_001_021,0.03056869597343703
H_002_041,0.029324898069201945
v2x_egal,0.02859076187256777
v2x_polyarchy,0.028105298969726477
H_002_161,0.028019836515331926
v2xcl_rol,0.02371104976918435
S_200,0.023520750463247638
