pliegue,olas_train,ola_val,olas_test,modelo,kappa_cuadratico,mae_ordinal,f1_macro,n_trials_optuna
final,1995-2018,2020,"2023, 2024",OLO,0.5277900220097851,0.7467506555694904,0.39267141996747856,50
final,1995-2018,2020,"2023, 2024",XGBoost,0.5340116583243106,0.6414604948124502,0.47925058320694247,50
final,1995-2018,2020,"2023, 2024",CatBoost,0.5372922765609653,0.6406054041728423,0.4770576881419937,50
final,1995-2018,2020,"2023, 2024",LightGBM,0.5316293938457535,0.6471896020978224,0.4785062709716821,50
final,1995-2018,2020,"2023, 2024",TabNet,0.5374488765021261,0.657564701858397,0.4606676206337268,50
fold1,1995-2007,2008,"2009, 2010",OLO,0.3343369797787896,0.9956956724057702,0.28874416070140174,15
fold1,1995-2007,2008,"2009, 2010",XGBoost,0.4677423941967148,0.6179909260120986,0.4583579691410575,15
fold1,1995-2007,2008,"2009, 2010",CatBoost,0.47778455905533257,0.6162168450442066,0.46246323130886113,15
fold1,1995-2007,2008,"2009, 2010",LightGBM,0.4657307903558452,0.6300604932526757,0.4583306110391966,15
fold1,1995-2007,2008,"2009, 2010",TabNet,0.35354121467338817,0.8154374127501164,0.38322912306938617,15
fold2,1995-2010,2011,"2013, 2015",OLO,0.4693708439985784,0.8322440087145969,0.35242425752100737,15
fold2,1995-2010,2011,"2013, 2015",XGBoost,0.4704182553532491,0.6987944807552651,0.43623718689129165,15
fold2,1995-2010,2011,"2013, 2015",CatBoost,0.47455778535812054,0.6996659404502542,0.4308288371228139,15
fold2,1995-2010,2011,"2013, 2015",LightGBM,0.4673235708432266,0.7041103848946986,0.43130845603612394,15
fold2,1995-2010,2011,"2013, 2015",TabNet,0.4683319217454601,0.7141031227305737,0.4300577550051784,15
fold3,1995-2015,2016,"2017, 2018",OLO,0.47065925204915005,0.7772532437442076,0.3526407172238414,15
fold3,1995-2015,2016,"2017, 2018",XGBoost,0.4720029964054837,0.6766682113067656,0.4371697252000867,15
fold3,1995-2015,2016,"2017, 2018",CatBoost,0.44710692996139956,0.7017493049119555,0.429606279516489,15
fold3,1995-2015,2016,"2017, 2018",LightGBM,0.46242906907498804,0.6773922613531047,0.43761775800669755,15
fold3,1995-2015,2016,"2017, 2018",TabNet,0.4701807257871159,0.665373030583874,0.4399726331221092,15
